age_group,lang,job_type,gender,scenario,age-group,task_name,sp_id,native_language,fname,text,occupation,native_district,occupation_domain,verbatim,duration,qc1_applied,native_state,qual,job_category,normalized
18-30,hi,White Collar,Female,Read,18-30,Wikipedia Sentences,9720900365812,Marathi,5348024557502739_f960_chunk_0_subchunk_1.wav,किम ने उन्नीस सौ तिरानवे में फ़िल्म उद्योग से संन्यास ले लिया उनकी आखिरी फ़िल्में प्रतिकार हनीमून बलवान मुस्कुराहट और बुलंद में अतिथि भूमिकाएँ थीं,Project Officer,Yavatmal,Education and Research,किम ने उन्नीस सौ तिरानवे में फ़िल्म उद्योग से संन्यास ले लिया उनकी आखिरी फ़िल्में प्रतिकार हनीमून बलवान मुस्कुराहट और बुलंद में अतिथि भूमिकाएँ थीं,11.643,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,किम ने उन्नीस सौ तिरानवे में फ़िल्म [Film] उद्योग से संन्यास ले लिया उनकी आखिरी फ़िल्में प्रतिकार हनीमून [Honeymoon] बलवान मुस्कुराहट और बुलंद में अतिथि भूमिकाएँ थीं
18-30,hi,White Collar,Female,Read,18-30,Wikipedia Sentences,9720900365812,Marathi,5348024557502740_f961_chunk_0_subchunk_1.wav,वह राजनीति से संबंधित एक सम्मानित परिवार से थे ख़ासकर जबसे उनके पिता हैरात के राज्यपाल होने के नाते अफ़गानों की रक्षा करते हुए लड़ाई में मारे गए थे,Project Officer,Yavatmal,Education and Research,वह राजनीति से संबंधित एक सम्मानित परिवार से थे ख़ासकर जबसे उनके पिता हैरात के राज्यपाल होने के नाते अफ़गानों की रक्षा करते हुए लड़ाई में मारे गए थे,12.044,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,वह राजनीति से संबंधित एक सम्मानित परिवार से थे ख़ासकर जबसे उनके पिता हैरात के राज्यपाल होने के नाते अफ़गानों की रक्षा करते हुए लड़ाई में मारे गए थे
18-30,hi,White Collar,Female,Read,18-30,Everyday tasks,9720900365812,Marathi,5348024557502745_f1094_chunk_0_subchunk_1.wav,मोदी अपने दैनिक जीवन में क्या करते हैं,Project Officer,Yavatmal,Education and Research,मोदी अपने दैनिक जीवन में क्या करते हैं,2.736,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,मोदी अपने दैनिक जीवन में क्या करते हैं
18-30,hi,White Collar,Female,Read,18-30,Everyday tasks,9720900365812,Marathi,5348024557502746_f2026_chunk_0_subchunk_1.wav,मीडिया प्लेयर खोलें और मेरी जिम प्लेलिस्ट चलाएँ,Project Officer,Yavatmal,Education and Research,मीडिया प्लेयर खोलें और मेरी जिम प्लेलिस्ट चलाए,3.113,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,मीडिया [Media] प्लेयर [Player] खोलें और मेरी जिम [Gym] प्लेलिस्ट [Playlist] चलाएँ
18-30,hi,White Collar,Female,Read,18-30,Online grocery shopping,9720900365812,Marathi,5348024557502747_f2027_chunk_0_subchunk_1.wav,मैं नौ सौ रुपये की ए बी टी ख़रीदना चाहता हूँ,Project Officer,Yavatmal,Education and Research,मैं नौ सौ रुपये की एबीटी खरीदना चाहता हूँ,3.154,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,मैं नौ सौ रुपये की ए [A] बी [B] टी [T] ख़रीदना चाहता हूँ
18-30,hi,White Collar,Female,Read,18-30,Online grocery shopping,9720900365812,Marathi,5348024557502749_f1669_chunk_0_subchunk_1.wav,मैं इंग्लिश ओवन बेस पिज़्ज़ा डव ब्यूटी मॉइश्चर फेसवॉश और निसान कप नूडल्स हटाना चाहता हूँ क्या आप उन्हें मेरी ख़रीददारी सूची से हटा सकते हैं,Project Officer,Yavatmal,Education and Research,मैं इंग्लिश ओवन बेस पिज़्ज़ा डव ब्यूटी मॉइश्चर फेसवॉश और निसान कप नूडल्स हटाना चाहता हूँ क्या आप उन्हें मेरी ख़रीददारी सूची से हटा सकते हैं,11.609,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,मैं इंग्लिश [English] ओवन [Oven] बेस [Base] पिज़्ज़ा [Pizza] डव [Dove] ब्यूटी [Beauty] मॉइश्चर [Moister] फेसवॉश [Facewash] और निसान [Nissin] कप [Cup] नूडल्स [Noodles] हटाना चाहता हूँ क्या आप उन्हें मेरी ख़रीददारी सूची से हटा सकते हैं
18-30,hi,White Collar,Female,Read,18-30,Digital payment services,9720900365812,Marathi,5348024557502752_f2028_chunk_0_subchunk_1.wav,कृपया पेयू मनी का इस्तेमाल करके मेरे फोन का मौजूदा प्लान से रिचार्ज करें और वही रकम संपर्क बहन को ट्रांसफ़र करें,Project Officer,Yavatmal,Education and Research,कृपया पेयू मनी का इस्तेमाल करके मेरे फोन का मौजूदा प्लान से रिचार्ज करें और वही रकम संपर्क बहन को ट्रांसफ़र करें,8.641,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,कृपया पेयू [PayU] मनी [Money] का इस्तेमाल करके मेरे फोन [Phone] का मौजूदा प्लान [Plan] से रिचार्ज [Recharge] करें और वही रकम संपर्क बहन को ट्रांसफ़र [Transfer] करें
18-30,hi,White Collar,Female,Read,18-30,Digital payment services,9720900365812,Marathi,5348024557502753_f1030_chunk_0_subchunk_1.wav,क्या मैं अपने एजुकेशन लोन को त्रिपुरा ग्रामीण बैंक पर ओला मनी के माध्यम से वापस भुगतान कर सकता हूँ,Project Officer,Yavatmal,Education and Research,क्या मैं अपने एजुकेशन लोन को त्रिपुरा ग्रामीण बैंक पर ओला मनी के माध्यम से वापस भुगतान कर सकता हूँ,7.336,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,क्या मैं अपने एजुकेशन [Education] लोन [Loan] को त्रिपुरा ग्रामीण बैंक [Bank] पर ओला [Ola] मनी [Money] के माध्यम से वापस भुगतान कर सकता हूँ
18-30,hi,White Collar,Female,Read,18-30,Online government services,9720900365812,Marathi,5348024557502755_f2029_chunk_0_subchunk_1.wav,क्या आप चेक कर सकते हैं कि बनारस हिन्दू विश्वविद्यालय शैक्षणिक वर्ष दो हज़ार उन्नीस दो हज़ार बीस में ए आई सी टी ई अनुमोदित संस्थान था या नहीं,Project Officer,Yavatmal,Education and Research,क्या आप चेक कर सकते हैं कि बनारस हिन्दू विश्वविद्यालय शैक्षणिक वर्ष दो हज़ार उन्नीस दो हज़ार बीस में एआईसीटीई अनुमोदित संस्थान था या नहीं,11.711,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,क्या आप चेक [Check] कर सकते हैं कि बनारस हिन्दू विश्वविद्यालय शैक्षणिक वर्ष दो हज़ार उन्नीस दो हज़ार बीस में ए [A] आई [A] सी [C] टी [T] ई [E] अनुमोदित संस्थान था या नहीं
18-30,hi,White Collar,Female,Read,18-30,Online government services,9720900365812,Marathi,5348024557502757_f2030_chunk_0_subchunk_1.wav,मुझे अपने फ़ोन नम्बर सेवन नाइन एट सिक्स वन फ़ाइव एट ज़ीरो सिक्स फोर सेवन के लिए कोविड वैक्सीन प्रमाणपत्र डाउनलोड करना है,Project Officer,Yavatmal,Education and Research,मुझे अपने फ़ोन नम्बर सेवन नाइन एट सिक्स वन फ़ाइव एट ज़ीरो सिक्स फोर सेवन के लिए कोविड वैक्सीन प्रमाणपत्र डाउनलोड करना है,9.942,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,मुझे अपने फ़ोन [Phone] नम्बर [Number] सेवन [Seven] नाइन [Nine] एट [Eight] सिक्स [Six] वन [One] फ़ाइव [Five] एट [Eight] ज़ीरो [Zero] सिक्स [Six] फोर [Four] सेवन [Seven] के लिए कोविड [Covid] वैक्सीन [Vaccine] प्रमाणपत्र डाउनलोड [Download] करना है
