Filename,ground_truth
5348024557502739_f960_chunk_0_subchunk_1.wav,किम ने उन्नीस सौ तिरानवे में फ़िल्म उद्योग से संन्यास ले लिया उनकी आखिरी फ़िल्में प्रतिकार हनीमून बलवान मुस्कुराहट और बुलंद में अतिथि भूमिकाएँ थीं
5348024557502740_f961_chunk_0_subchunk_1.wav,वह राजनीति से संबंधित एक सम्मानित परिवार से थे ख़ासकर जबसे उनके पिता हैरात के राज्यपाल होने के नाते अफ़गानों की रक्षा करते हुए लड़ाई में मारे गए थे
5348024557502745_f1094_chunk_0_subchunk_1.wav,मोदी अपने दैनिक जीवन में क्या करते हैं
5348024557502746_f2026_chunk_0_subchunk_1.wav,मीडिया प्लेयर खोलें और मेरी जिम प्लेलिस्ट चलाएँ
5348024557502747_f2027_chunk_0_subchunk_1.wav,मैं नौ सौ रुपये की ए बी टी ख़रीदना चाहता हूँ
5348024557502749_f1669_chunk_0_subchunk_1.wav,मैं इंग्लिश ओवन बेस पिज़्ज़ा डव ब्यूटी मॉइश्चर फेसवॉश और निसान कप नूडल्स हटाना चाहता हूँ क्या आप उन्हें मेरी ख़रीददारी सूची से हटा सकते हैं
5348024557502752_f2028_chunk_0_subchunk_1.wav,कृपया पेयू मनी का इस्तेमाल करके मेरे फोन का मौजूदा प्लान से रिचार्ज करें और वही रकम संपर्क बहन को ट्रांसफ़र करें
5348024557502753_f1030_chunk_0_subchunk_1.wav,क्या मैं अपने एजुकेशन लोन को त्रिपुरा ग्रामीण बैंक पर ओला मनी के माध्यम से वापस भुगतान कर सकता हूँ
5348024557502755_f2029_chunk_0_subchunk_1.wav,क्या आप चेक कर सकते हैं कि बनारस हिन्दू विश्वविद्यालय शैक्षणिक वर्ष दो हज़ार उन्नीस दो हज़ार बीस में ए आई सी टी ई अनुमोदित संस्थान था या नहीं
5348024557502757_f2030_chunk_0_subchunk_1.wav,मुझे अपने फ़ोन नम्बर सेवन नाइन एट सिक्स वन फ़ाइव एट ज़ीरो सिक्स फोर सेवन के लिए कोविड वैक्सीन प्रमाणपत्र डाउनलोड करना है
5348024557502765_f2240_chunk_0_subchunk_1.wav,बिल्ली
5348024557502766_f2036_chunk_0_subchunk_1.wav,चार
5348024557502771_f402_chunk_0_subchunk_1.wav,एक जनवरी उन्नीस सौ अट्ठानवे दो फरवरी दो हज़ार बारह
5348024557502771_f402_chunk_1_subchunk_1.wav,तीन मार्च दो हज़ार उन्नीस चार दिसम्बर दो हज़ार पंद्रह सोलह मई उन्नीस सौ पचास
5348024557502773_f399_chunk_0_subchunk_1.wav,ठाणे
5348024557502773_f399_chunk_1_subchunk_1.wav,नागपुर
5348024557502773_f399_chunk_2_subchunk_1.wav,पुणे
5348024557502773_f399_chunk_3_subchunk_1.wav,यवतमाल
5348024557502773_f399_chunk_4_subchunk_1.wav,चंद्रपुर
5348024557502778_f403_chunk_0_subchunk_1.wav,भारत का जो पहनावा है जो फ़ैशन है वह काफ़ी साल में बहुत बदलता हुआ दिखाई देता है जैसे मेरी
5348024557502778_f403_chunk_10_subchunk_1.wav,उसको महत्त्व दिया करते थे लोग पर अभी के आज के दिनों में
5348024557502778_f403_chunk_11_subchunk_1.wav,फ़ास्ट फ़ैशन आये हैं और जो ब्रांड्स है जो सारी कंपनियाँ हैं जो फ़ैशन को प्रमोट करती है वह
5348024557502778_f403_chunk_12_subchunk_1.wav,काफ़ी कम क्वालिटी और कम प्राइस में फ़ैशनेबल कपड़े अवेलेबल कराते हैं मार्केट्स में उसकी वजह से
5348024557502778_f403_chunk_13_subchunk_1.wav,जो फ़ैशन के ट्रेंड्स है वह चेंज वह बहुत बदलते रहते हैं हर दिन
5348024557502778_f403_chunk_14_subchunk_1.wav,एक एक हफ़्ते में जो फ़ैशन के ब्रांड्स है उनके जो दुकान है वहाँ पर हर जो एक
5348024557502778_f403_chunk_15_subchunk_1.wav,स्प्रिंग का अलग एक
5348024557502778_f403_chunk_16_subchunk_1.wav,सिलेक्शन या समर का सिलेक्शन ऐसा जो एक वेस्टर्न एक पश्चिमात्य
5348024557502778_f403_chunk_17_subchunk_1.wav,कपड़े पहनने का जो तरीका है वह ज़्यादा बढ़ता हुआ दिखाई दे रहा है जो की
5348024557502778_f403_chunk_18_subchunk_1.wav,बदलते हुए फ़ैशन ट्रेंड को ज़्यादा प्रिफ़र करता है न की अच्छी क्वालिटी और लम्बा चलने वाले कपड़ों से बट
5348024557502778_f403_chunk_19_subchunk_1.wav,पर ही इंडिया में मुझको एक चीज़ यह लगती है की कितना भी वेस्टर्न कपड़ों का इस्तेमाल रोज़ होता होगा
5348024557502778_f403_chunk_1_subchunk_1.wav,माँ जब कॉलेज में थी तब उनका
5348024557502778_f403_chunk_20_subchunk_1.wav,लोग जो है हमेशा ट्रेडिशनल कपड़ों
5348024557502778_f403_chunk_21_subchunk_1.wav,को बहुत अच्छा मानते हैं और उनमें अच्छे दिखते भी हैं तो जैसे कुछ भी
5348024557502778_f403_chunk_22_subchunk_1.wav,कल्चरल कार्यक्रम हो शादी हो कोई कॉलेज में कोई
5348024557502778_f403_chunk_23_subchunk_1.wav,फ़ेस्टिवल हो या फिर पूजा हो जो सारे स्वर्ण है जो सारे फ़ेस्टिवल्स है दिवाली है ईद है और
5348024557502778_f403_chunk_24_subchunk_1.wav,यह सब में लोग ट्रेडिशनल कपड़े पहनना पसंद करते हैं
5348024557502778_f403_chunk_25_subchunk_1.wav,और मुझे भी पसंद है अच्छे अलग अलग तरीके के
5348024557502778_f403_chunk_26_subchunk_1.wav,कपड़े पहनना और मुझे पर्सनली कुर्तीज और चिकनकारी का काम किया हुआ बहुत पसंद है
5348024557502778_f403_chunk_27_subchunk_1.wav,और मैं चाहती हूँ की जो भारत के कारीगर हैं उनको भी बढ़ावा मिलना चाहिए इन सारी चीज़ों में और उससे बिज़नेस भी अच्छा होगा और इंडिया का फ़ैशन हर जगह पर पॉपुलर होना चाहिए
5348024557502778_f403_chunk_28_subchunk_1.wav,यह एक है और मैं मोस्टली कपड़े
5348024557502778_f403_chunk_29_subchunk_1.wav,मुझे मैं जब दिल्ली दिल्ली में थी मुझे जनपथ यह जगह थी जो पसंद आती थी पर यहाँ पर चेन्नई में
5348024557502778_f403_chunk_2_subchunk_1.wav,जो ड्रेस पहनने का तरीका था वह अभी से काफ़ी अलग था बल्कि इतना समय उस चीज़ को हुआ नहीं है
5348024557502778_f403_chunk_30_subchunk_1.wav,एक पोंडी बाज़ार कर के जगह है जहाँ पर अच्छे कांजीवरम साड़िज मिलते हैं और नार्मल
5348024557502778_f403_chunk_31_subchunk_1.wav,रोज़ के जो कपड़े है वह मैं मॉल में खरीदना चेन्नई में एटलीस्ट पसंद करती हूँ
5348024557502778_f403_chunk_3_subchunk_1.wav,और मैं जब स्कूल में थी तब भी जब फ़ैशन था वह आज से काफ़ी बदला हुआ
5348024557502778_f403_chunk_4_subchunk_1.wav,दिखाई देता है एक बड़ा बदल जो मुझे लगता है वह है फ़ास्ट फ़ैशन
5348024557502778_f403_chunk_5_subchunk_1.wav,पहले उन कपड़ो को ज़्यादा महत्व दिया हो दिया करते थे जिन जो बहुत अच्छे क्वालटी के हैं बहुत अच्छा
5348024557502778_f403_chunk_6_subchunk_1.wav,ओरिजिनल काम उस पर करा हुआ है जो सालों साल तक चले जैसे साड़ियाँ हों
5348024557502778_f403_chunk_7_subchunk_1.wav,अलग अलग प्रांत के अलग अलग कारीगरी हो
5348024557502778_f403_chunk_8_subchunk_1.wav,भले ही वह थोड़ा महंगा क्यों न हो पर उस पर उसकी जो ऑथेंटिसिटी है जो उसके जितना ज़्यादा
5348024557502778_f403_chunk_9_subchunk_1.wav,सच्चा काम और जितना ज़्यादा रियल क्वालिटी का कपड़ा उतना
