Filename,Transcription,vocab_list
5348024557503255_f588_chunk_8_subchunk_1_QC1_3_sample_rate_reduction.wav,यहाँ पर कोई एक्जीबिशन सेंटर्स हैं ऑडिटोरियम्स ैं औ,"['एक्जीबिशन', 'ैं', 'यहाँ', 'ऑडिटोरियम्स', 'पर', 'कोई', 'हैं', 'औ', 'सेंटर्स']"
5348024557503363_f458_chunk_3_subchunk_1_QC1_3_sample_rate_reduction.wav,पहले दो कप्पानी आड़ किया न अभी दो खप दूध एड करके उसे दुभाछूटा दो बार उबलने देंगे अर दो बार उबलने पर उसे ऑफ करके फिल्सम में फिलकर करके अगर थोड़ासा और चीनी चाहिए तो थोड़ासा चीनी ढाल के,"['ऑफ', 'तो', 'ढाल', 'उसे', 'पहले', 'आड़', 'फिलकर', 'न', 'चीनी', 'कप्पानी', 'अभी', 'उबलने', 'दूध', 'चाहिए', 'के', 'देंगे', 'में', 'दुभाछूटा', 'थोड़ासा', 'दो', 'बार', 'करके', 'एड', 'फिल्सम', 'और', 'अगर', 'पर', 'अर', 'खप', 'किया']"
5348024557503298_f741_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,अमेरिका चाइना जापान नेपान पाकिस्तान भूटान,"['भूटान', 'पाकिस्तान', 'अमेरिका', 'चाइना', 'जापान', 'नेपान']"
5348024557503716_f15_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,बचपन में तो बहुत सारी गेम्स थी जो हम खेलते थे अब तो कुछ मेको यादबिनी और कछ कुछ जो मुझे याद है जब हमरे समर ब्रेक्स पड़ती थी गर्मियों की जो यहां छुट्टियाँ पढ़ती हैं अब तो थोड़ी कम होगी हमारे टाइम तो पड़ती थी दो महीने की छुट्टियाँ,"['की', 'याद', 'तो', 'जब', 'मुझे', 'थी', 'है', 'गेम्स', 'बचपन', 'टाइम', 'कुछ', 'महीने', 'थोड़ी', 'थे', 'हैं', 'पढ़ती', 'बहुत', 'छुट्टियाँ', 'कम', 'हमारे', 'खेलते', 'में', 'जो', 'ब्रेक्स', 'मेको', 'दो', 'हम', 'हमरे', 'होगी', 'गर्मियों', 'अब', 'और', 'यादबिनी', 'सारी', 'समर', 'पड़ती', 'यहां', 'कछ']"
5348024557503451_f1329_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,उन सभी टीकाकरण केंड्रों को फिल्टर करें जो सशुल्क हैं और पहली डोज देते हैं,"['डोज', 'को', 'पहली', 'करें', 'और', 'फिल्टर', 'टीकाकरण', 'उन', 'सभी', 'जो', 'सशुल्क', 'हैं', 'देते', 'केंड्रों']"
5348024557503656_f273_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,बड़ा होता है और फिर उसके बाद क्या होता है मतलब वो बेसिकली एक जिंदगी का एक मतलब डेविड कॉपरफील के जिंदगी के ऊपर,"['जिंदगी', 'डेविड', 'कॉपरफील', 'उसके', 'मतलब', 'होता', 'के', 'एक', 'और', 'का', 'वो', 'ऊपर', 'बाद', 'है', 'बड़ा', 'बेसिकली', 'क्या', 'फिर']"
5348024557503536_f353_chunk_2_subchunk_1_QC1_4_silence_insertion.wav,जिसे यूनेस्को ने बयो रिजर्व,"['रिजर्व', 'ने', 'जिसे', 'बयो', 'यूनेस्को']"
5348024557503661_f632_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,इतनी सारी यूनिवर्सिटीज हैं,"['सारी', 'यूनिवर्सिटीज', 'हैं', 'इतनी']"
5348024557503484_f209_chunk_8_subchunk_1_QC1_4_silence_insertion.wav,फिर भी मुझे लगता है आज भी गांवं में ये सारी जो भी परथाएं हैं वो अभी तक चल रही हैं,"['चल', 'मुझे', 'आज', 'गांवं', 'ये', 'परथाएं', 'में', 'लगता', 'जो', 'वो', 'है', 'सारी', 'अभी', 'भी', 'तक', 'रही', 'हैं', 'फिर']"
5348024557503549_f580_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,जब तक अब ई यहां तक कि मेरी दादी मां भी जब तक व वो किसी,"['जब', 'किसी', 'अब', 'दादी', 'वो', 'मेरी', 'व', 'मां', 'भी', 'यहां', 'तक', 'ई', 'कि']"
