verbatim,normalized,duration,scenario,fname,native_language,gender,age_group,native_state,native_district,sp_id,text,lang,task_name,job_category,occupation_domain,occupation,job_type,age-group,qual,qc1_applied
और मैं बहुत ज़्यादा खुश हूँ उसकी क्वालिटी को देखे वो बहुत अच्छा है इतना मुलायम है कि अगर पहन तो पहनूँ तो त्वचा के ऊपर बहुत ही आरामदायक [uhh] लगता है,और मैं बहुत ज़्यादा खुश हूँ उसकी क्वालिटी [Quality] को देखें वह बहुत अच्छा है इतना मुलायम है कि अगर पहन तो पहनूँ तो त्वचा के ऊपर बहुत ही आरामदायक [uhh] लगता है,11.198,Extempore,5348024557504799_f422_chunk_1_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,और मैं बहुत ज़्यादा खुश हूँ उसकी क्वालिटी को देखें वह बहुत अच्छा है इतना मुलायम है कि अगर पहन तो पहनूँ तो त्वचा के ऊपर बहुत ही आरामदायक लगता है,hi,Product Reviews,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_3_sample_rate_reduction;QC1_1_format_conversion
और ठंडी में गर्माहट और गर्मी में ठंड रखता है शरीर को,और ठंडी में गर्माहट और गर्मी में ठंड रखता है शरीर को,4.479,Extempore,5348024557504799_f422_chunk_2_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,और ठंडी में गर्माहट और गर्मी में ठंड रखता है शरीर को,hi,Product Reviews,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_5_upsampling_simulation;QC1_4_silence_insertion;QC1_1_format_conversion
इसके ऊपर जो कढ़ाई [uhh] बनाई है वो बहुत ही ज़्यादा सुंदर है जो [uhh] फूलों का चित्र,इसके ऊपर जो कढ़ाई [uhh] बनाई है वह बहुत ही ज़्यादा सुंदर है जो [uhh] फूलों का चित्र,7.916,Extempore,5348024557504799_f422_chunk_3_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,इसके ऊपर जो कढ़ाई बनाई है वह बहुत ही ज़्यादा सुंदर है जो फूलों का चित्र,hi,Product Reviews,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_5_upsampling_simulation;QC1_1_format_conversion
ब बनाया है इसके ऊपर और [uhh] इसकी धागा चरखा से बनाया गया है और हाथ से इनको इस,ब बनाया है इसके ऊपर और [uhh] इसकी धागा चरखा से बनाया गया है और हाथ से इनको इस,8.703,Extempore,5348024557504799_f422_chunk_4_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,ब बनाया है इसके ऊपर और इसकी धागा चरखा से बनाया गया है और हाथ से इनको इस,hi,Product Reviews,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_1_format_conversion
त कुर्ते को बना बुनाया है उन्होंने [inhaling] और इसमें नैसर्गिक रंगों का इस्तेमाल हुआ है तो ये इस तरह,त कुर्ते को बना बुनाया है उन्होंने [inhaling] और इसमें नैसर्गिक रंगों का इस्तेमाल हुआ है तो यह इस तरह,7.743,Extempore,5348024557504799_f422_chunk_5_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,त कुर्ते को बना बुनाया है उन्होंने और इसमें नैसर्गिक रंगों का इस्तेमाल हुआ है तो यह इस तरह,hi,Product Reviews,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_5_upsampling_simulation;QC1_1_format_conversion
एक इको फ्रेंडली जो कहते हैं [uhh] वो है,एक इको [Eco] फ्रेंडली [Friendly] जो कहते हैं [uhh] वह है,3.6649375,Extempore,5348024557504799_f422_chunk_6_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,एक इको फ्रेंडली जो कहते हैं वह है,hi,Product Reviews,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_4_silence_insertion
और इसे पहन कर हम बहुत ही आराम से रह सकते हैं,और इसे पहन कर हम बहुत ही आराम से रह सकते हैं,4.671,Extempore,5348024557504799_f422_chunk_7_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,और इसे पहन कर हम बहुत ही आराम से रह सकते हैं,hi,Product Reviews,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction
कोई भी दिक्कत नहीं होती [uhh] ऑफ़िस जाने के लिए भी या भीड़ भाड़ में बस में जाने के लिए या फिर अगर घर में ही रहते हैं तो तब भी ये बहुत आरामदायक कपड़ा है मेरे लिए तो,कोई भी दिक्कत नहीं होती [uhh] ऑफ़िस [Office] जाने के लिए भी या भीड़-भाड़ में बस [Bus] में जाने के लिए या फिर अगर घर में ही रहते हैं तो तब भी यह बहुत आरामदायक कपड़ा है मेरे लिए तो,14.558,Extempore,5348024557504799_f422_chunk_8_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,कोई भी दिक्कत नहीं होती ऑफ़िस जाने के लिए भी या भीड़ भाड़ में बस में जाने के लिए या फिर अगर घर में ही रहते हैं तो तब भी यह बहुत आरामदायक कपड़ा है मेरे लिए तो,hi,Product Reviews,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_1_format_conversion
इक्यावन तेरह लाख एक सौ आठ छप्पन बासठ,इक्यावन तेरह लाख एक सौ आठ छप्पन बासठ,7.193,Extempore,5348024557504802_f200_chunk_0_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,इक्यावन तेरह लाख एक सौ आठ छप्पन बासठ,hi,Task of Fives,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_1_format_conversion
भारत जापान कंबोडिया ब्रज़ील ग्रीस,भारत जापान [Japan] कंबोडिया [Cambodia] ब्रज़ील [Brazil] ग्रीस [Greece],5.736,Extempore,5348024557504806_f21_chunk_0_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,भारत जापान कंबोडिया ब्रज़ील ग्रीस,hi,Task of Fives,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_4_silence_insertion;QC1_1_format_conversion
टोक्यो जकार्ता बार्सिलोना बर्लिन,टोक्यो [Tokyo] जकार्ता [Jakarta] बार्सिलोना [Barcelona] बर्लिन [Berlin],4.455,Extempore,5348024557504807_f23_chunk_0_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,टोक्यो जकार्ता बार्सिलोना बर्लिन,hi,Task of Fives,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_1_format_conversion
