verbatim,normalized,duration,scenario,fname,native_language,gender,age_group,native_state,native_district,sp_id,text,lang,task_name,job_category,occupation_domain,occupation,job_type,age-group,qual,qc1_applied
अठारह जून दो हज़ार दस,अठारह जून [June] दो हज़ार दस,2.655,Extempore,5348024557503757_f487_chunk_2_subchunk_1.wav,Nepali,Male,18-30,West Bengal,Kalimpong,8176500317052,अठारह जून दो हज़ार दस,hi,Task of Fives,Part Time,Education and Research,Teaching,Blue Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_4_silence_insertion
सत्रह मार्च दो हज़ार बीस,सत्रह मार्च [March] दो हज़ार बीस,3.394,Extempore,5348024557503757_f487_chunk_3_subchunk_1.wav,Nepali,Male,18-30,West Bengal,Kalimpong,8176500317052,सत्रह मार्च दो हज़ार बीस,hi,Task of Fives,Part Time,Education and Research,Teaching,Blue Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_2_corrupt_simulation
इंडोनेशिया,इंडोनेशिया [Indonesia],1.086,Extempore,5348024557503762_f377_chunk_0_subchunk_1.wav,Nepali,Male,18-30,West Bengal,Kalimpong,8176500317052,इंडोनेशिया,hi,Task of Fives,Part Time,Education and Research,Teaching,Blue Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_4_silence_insertion
इंग्लैंड,इंग्लैंड [England],0.877,Extempore,5348024557503762_f377_chunk_1_subchunk_1.wav,Nepali,Male,18-30,West Bengal,Kalimpong,8176500317052,इंग्लैंड,hi,Task of Fives,Part Time,Education and Research,Teaching,Blue Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_2_corrupt_simulation
जापान,जापान [Japan],0.853,Extempore,5348024557503762_f377_chunk_2_subchunk_1.wav,Nepali,Male,18-30,West Bengal,Kalimpong,8176500317052,जापान,hi,Task of Fives,Part Time,Education and Research,Teaching,Blue Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_4_silence_insertion
जर्मनी,जर्मनी [Germany],1.016,Extempore,5348024557503762_f377_chunk_3_subchunk_1.wav,Nepali,Male,18-30,West Bengal,Kalimpong,8176500317052,जर्मनी,hi,Task of Fives,Part Time,Education and Research,Teaching,Blue Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_4_silence_insertion
बांग्लादेश,बांग्लादेश,0.949,Extempore,5348024557503762_f377_chunk_4_subchunk_1.wav,Nepali,Male,18-30,West Bengal,Kalimpong,8176500317052,बांग्लादेश,hi,Task of Fives,Part Time,Education and Research,Teaching,Blue Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_3_sample_rate_reduction
हिंदी भाषा तो ये इंडिया भारत का राष्ट्रीय भाषा ही है इसलिए इस राष्ट्रीय भाषा को [inhaling] [uhh] संरक्षण करने के लिए और प्रमोट करने के लिए इसका विकासित,हिंदी भाषा तो यह इंडिया [India] भारत का राष्ट्रीय भाषा ही है इसलिए इस राष्ट्रीय भाषा को [inhaling] [uhh] संरक्षण करने के लिए और प्रमोट [Promote] करने के लिए इसका विकसित,11.583,Extempore,5348024557503765_f215_chunk_0_subchunk_1.wav,Nepali,Male,18-30,West Bengal,Kalimpong,8176500317052,हिंदी भाषा तो यह इंडिया भारत का राष्ट्रीय भाषा ही है इसलिए इस राष्ट्रीय भाषा को संरक्षण करने के लिए और प्रमोट करने के लिए इसका विकसित,hi,Icebreakers,Part Time,Education and Research,Teaching,Blue Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_5_upsampling_simulation
लेकिन [cough] कुछ लोग [uhh] कुछ [uhh] हिंदू [uhh] जो हिंदुस्तान का लोग जो भी भारत का लोग  [inhaling] कुछ लोग [uhh] हिंदी,लेकिन [cough] कुछ लोग [uhh] कुछ [uhh] हिंदू [uhh] जो हिंदुस्तान का लोग जो भी भारत का लोग  [inhaling] कुछ लोग [uhh] हिंदी,9.375,Extempore,5348024557503765_f215_chunk_10_subchunk_1.wav,Nepali,Male,18-30,West Bengal,Kalimpong,8176500317052,लेकिन कुछ लोग कुछ हिंदू जो हिंदुस्तान का लोग जो भी भारत का लोग कुछ लोग हिंदी,hi,Icebreakers,Part Time,Education and Research,Teaching,Blue Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_3_sample_rate_reduction
भाषा को प्रमोट करने के लिए और दिनों दिन प्रयास भी कर रहे है जैसे की [uhh] स्कूल में पढ़ाना हो तो हिंदी भाषा के लिए,भाषा को प्रमोट [Promote] करने के लिए और दिनों दिन प्रयास भी कर रहे है जैसे की [uhh] स्कूल [School] में पढ़ाना हो तो हिंदी भाषा के लिए,8.324,Extempore,5348024557503765_f215_chunk_11_subchunk_1.wav,Nepali,Male,18-30,West Bengal,Kalimpong,8176500317052,भाषा को प्रमोट करने के लिए और दिनों दिन प्रयास भी कर रहे है जैसे की स्कूल में पढ़ाना हो तो हिंदी भाषा के लिए,hi,Icebreakers,Part Time,Education and Research,Teaching,Blue Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_2_corrupt_simulation
