Filename,Indiconformer_Hypothesis,vocab_list
5348024557502740_f961_chunk_0_subchunk_1_QC1_1_format_conversion.wav,वह राजनीति से संबंधित एक स्मानित परिवार से थे खासकर जबसे उनके पिता हैरात के राज्यपाल होने के नाते अफगानों की रक्षा करते हुए लड़ाई में मारे गए थे,"['होने', 'के', 'अफगानों', 'रक्षा', 'एक', 'वह', 'से', 'स्मानित', 'गए', 'नाते', 'करते', 'हुए', 'राज्यपाल', 'हैरात', 'पिता', 'थे', 'जबसे', 'खासकर', 'संबंधित', 'राजनीति', 'मारे', 'में', 'लड़ाई', 'परिवार', 'उनके', 'की']"
5348024557503255_f588_chunk_8_subchunk_1_QC1_3_sample_rate_reduction.wav,यहाँ पर कोई एक्जीबिशन सेंटर्स हैं ऑडिटोरियम्स ैं औ,"['पर', 'कोई', 'हैं', 'औ', 'एक्जीबिशन', 'ऑडिटोरियम्स', 'यहाँ', 'सेंटर्स', 'ैं']"
5348024557502897_f251_chunk_14_subchunk_1_QC1_1_format_conversion.wav,इस प्रोजेक्ट के माध्यम से मुंबई क लोगों को बेहतर इंफ्रास्ट्रक्चर और आरमदायक,"['इंफ्रास्ट्रक्चर', 'के', 'बेहतर', 'इस', 'लोगों', 'क', 'को', 'प्रोजेक्ट', 'माध्यम', 'से', 'आरमदायक', 'मुंबई', 'और']"
5348024557502913_f1625_chunk_0_subchunk_1_QC1_1_format_conversion.wav,आश्रम में विभिन्न मंदिर भी है और ध्यान और आध्यात्मिक राहत के लिए एक बहुत अच्छी जगह है,"['के', 'एक', 'आश्रम', 'अच्छी', 'विभिन्न', 'ध्यान', 'बहुत', 'आध्यात्मिक', 'लिए', 'जगह', 'राहत', 'में', 'भी', 'मंदिर', 'और', 'है']"
5348024557502866_f1650_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,शेकबॉस पास्ता और पीजा सॉस वापस करने की प्रक्रिया क्या है,"['सॉस', 'की', 'वापस', 'प्रक्रिया', 'पास्ता', 'करने', 'और', 'पीजा', 'है', 'शेकबॉस', 'क्या']"
5348024557502907_f252_chunk_2_subchunk_1_QC1_1_format_conversion.mp3,जो विभिन्न शैक्षिक पाठ्यक्रमों को प्रदान करते हैं,"['प्रदान', 'जो', 'हैं', 'करते', 'पाठ्यक्रमों', 'को', 'विभिन्न', 'शैक्षिक']"
5348024557503363_f458_chunk_3_subchunk_1_QC1_3_sample_rate_reduction.wav,पहले दो कप्पानी आड़ किया न अभी दो खप दूध एड करके उसे दुभाछूटा दो बार उबलने देंगे अर दो बार उबलने पर उसे ऑफ करके फिल्सम में फिलकर करके अगर थोड़ासा और चीनी चाहिए तो थोड़ासा चीनी ढाल के,"['के', 'फिल्सम', 'अगर', 'न', 'खप', 'पहले', 'कप्पानी', 'उबलने', 'ऑफ', 'अभी', 'तो', 'दूध', 'दो', 'में', 'देंगे', 'अर', 'पर', 'चीनी', 'किया', 'ढाल', 'चाहिए', 'उसे', 'एड', 'फिलकर', 'आड़', 'थोड़ासा', 'करके', 'बार', 'और', 'दुभाछूटा']"
5348024557502897_f251_chunk_4_subchunk_1_QC1_1_format_conversion.wav,जो महाराष्ट्र में पर्यटन और उद्योगों को बढ़ावा देने के लिए लिए महत्वपूर्ण हो सकता है इस विमान का नाम है सीहैरीय र जल और आकाश में यात्रा के लिए उपयुक्त होगा,"['महाराष्ट्र', 'उपयुक्त', 'के', 'जो', 'बढ़ावा', 'होगा', 'सीहैरीय', 'सकता', 'यात्रा', 'देने', 'लिए', 'का', 'उद्योगों', 'इस', 'पर्यटन', 'को', 'में', 'है', 'हो', 'जल', 'नाम', 'आकाश', 'विमान', 'र', 'और', 'महत्वपूर्ण']"
5348024557503298_f741_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,अमेरिका चाइना जापान नेपान पाकिस्तान भूटान,"['चाइना', 'पाकिस्तान', 'अमेरिका', 'जापान', 'नेपान', 'भूटान']"
5348024557503716_f15_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,बचपन में तो बहुत सारी गेम्स थी जो हम खेलते थे अब तो कुछ मेको यादबिनी और कछ कुछ जो मुझे याद है जब हमरे समर ब्रेक्स पड़ती थी गर्मियों की जो यहां छुट्टियाँ पढ़ती हैं अब तो थोड़ी कम होगी हमारे टाइम तो पड़ती थी दो महीने की छुट्टियाँ,"['गर्मियों', 'जो', 'छुट्टियाँ', 'थी', 'टाइम', 'पढ़ती', 'गेम्स', 'समर', 'महीने', 'जब', 'की', 'यादबिनी', 'पड़ती', 'बचपन', 'ब्रेक्स', 'हमारे', 'याद', 'खेलते', 'अब', 'थोड़ी', 'थे', 'बहुत', 'कम', 'यहां', 'मेको', 'तो', 'हैं', 'कछ', 'दो', 'में', 'कुछ', 'होगी', 'है', 'हम', 'मुझे', 'हमरे', 'सारी', 'और']"
