filename,ground_truth,normalized_transcripts
5348024557506147_f694_chunk_9_subchunk_1.wav,खुला,खुला
5348024557506151_f743_chunk_0_subchunk_1.wav,मेरे राज्य गुजरात में एन्टर्टेनमेन्ट इन्डस्ट्री,मेरे राज्य गुजरात में एन्टर्टेनमेन्ट इन्डस्ट्री
5348024557506151_f743_chunk_1_subchunk_1.wav,वह है गुजराती फ़िल्म इंडस्ट्री को कैसे खड़ा किया जा सके पिछले दस बारह सालों से यह प्रयास,वह है गुजराती फ़िल्म इंडस्ट्री को कैसे खड़ा किया जा सके पिछले दस बारह सालों से यह प्रयास
5348024557506151_f743_chunk_2_subchunk_1.wav,के प्रयास किए हैं लेकिन ज़्यादातर ऐसा,के प्रयास किए हैं लेकिन ज़्यादातर ऐसा
5348024557506151_f743_chunk_3_subchunk_1.wav,वह गुजराती कॉमेडी नाटकों का फ़िल्म रूपांतर बन कर रह गई है,वह गुजराती कॉमेडी नाटकों का फ़िल्म रूपांतर बन कर रह गई है
5348024557506151_f743_chunk_4_subchunk_1.wav,और दर्शक,और दर्शक
5348024557506151_f743_chunk_5_subchunk_1.wav,पहले से ही हिंदी फ़िल्मों के और हिंदी कंटेंट,पहले से ही हिंदी फ़िल्मों के और हिंदी कंटेंट
5348024557506151_f743_chunk_6_subchunk_1.wav,फ़िल्मों के प्रति इतने जल्दी आकर्षित नहीं होते हैं तो अगर वह मल्टीप्लेक्स में जाते हैं और उनके पास अगर दो विकल्प हैं,फ़िल्मों के प्रति इतने जल्दी आकर्षित नहीं होते हैं तो अगर वह मल्टीप्लेक्स में जाते हैं और उनके पास अगर दो विकल्प हैं
5348024557506151_f743_chunk_7_subchunk_1.wav,जब से ओ टी टी आया है इन्टरनेट आया है सोशल मीडिया आया है तब,जब से ओ टी टी आया है इन्टरनेट आया है सोशल मीडिया आया है तब
5348024557506158_f697_chunk_0_subchunk_1.wav,हमारे सौर मंडल में पृथ्वी,हमारे सौर मंडल में पृथ्वी
5348024557506158_f697_chunk_10_subchunk_1.wav,तो क्या ऐसा,तो क्या ऐसा
5348024557506158_f697_chunk_11_subchunk_1.wav,आज के दौर में वहाँ पर विकसित जीव सृष्टि पनप,आज के दौर में वहाँ पर विकसित जीव सृष्टि पनप
5348024557506158_f697_chunk_1_subchunk_1.wav,जीव सृष्टि है ऐसे कोई प्रमाण नहीं मिले हैं मंगल पर जीव सृष्टि होने की थ्योरीज़ काफ़ी दशकों से चलती आ रही,जीव सृष्टि है ऐसे कोई प्रमाण नहीं मिले हैं मंगल पर जीव सृष्टि होने की थ्योरीज़ काफ़ी दशकों से चलती आ रही
5348024557506158_f697_chunk_2_subchunk_1.wav,लेकिन जहाँ तक हमें मार्स रोवर,लेकिन जहाँ तक हमें मार्स रोवर
5348024557506158_f697_chunk_3_subchunk_1.wav,वहाँ,वहाँ
5348024557506158_f697_chunk_4_subchunk_1.wav,अगर जीव सृष्टी है तो वह,अगर जीव सृष्टी है तो वह
5348024557506158_f697_chunk_5_subchunk_1.wav,हम,हम
5348024557506158_f697_chunk_6_subchunk_1.wav,एक्सटर्नल लाइफ ऑन अदर प्लनेट्स की व्याख्या में रखें ऐसी कोई जीव,एक्सटर्नल लाइफ ऑन अदर प्लनेट्स की व्याख्या में रखें ऐसी कोई जीव
5348024557506158_f697_chunk_7_subchunk_1.wav,और जहाँ तक मुझे आकर्षित करने वाली थियरीज़ की बात है तो,और जहाँ तक मुझे आकर्षित करने वाली थियरीज़ की बात है तो
5348024557506158_f697_chunk_8_subchunk_1.wav,लाखों प्रकाश वर्ष दूर है करोड़ों प्रकाश वर्ष दूर है,लाखों प्रकाश वर्ष दूर है करोड़ों प्रकाश वर्ष दूर है
5348024557506158_f697_chunk_9_subchunk_1.wav,अपने साथ जो इन्फर्मेशन लाता है,अपने साथ जो इन्फर्मेशन लाता है
5348024557506159_f698_chunk_0_subchunk_1.wav,हमारे राज्य में कृषि को ज़्यादा असर पहुँचाने वाले,हमारे राज्य में कृषि को ज़्यादा असर पहुँचाने वाले
5348024557506159_f698_chunk_10_subchunk_1.wav,जहाँ तक किसानों की,जहाँ तक किसानों की
5348024557506159_f698_chunk_11_subchunk_1.wav,,
5348024557506159_f698_chunk_12_subchunk_1.wav,ऐसी बेमौसम,ऐसी बेमौसम
5348024557506159_f698_chunk_13_subchunk_1.wav,ज़्यादा बारिश की वजह से अपनी फसल में होने वाले नुकसान के,ज़्यादा बारिश की वजह से अपनी फसल में होने वाले नुकसान के
5348024557506159_f698_chunk_14_subchunk_1.wav,हर संभव प्रयास,हर संभव प्रयास
5348024557506159_f698_chunk_15_subchunk_1.wav,कभी कभार मुआवजों में कमी या फिर मुआवजे देरी से,कभी कभार मुआवजों में कमी या फिर मुआवजे देरी से
5348024557506159_f698_chunk_1_subchunk_1.wav,कभी बेमौसम बारिश का मार कभी देर से आने वाले मॉनसून की वजह से,कभी बेमौसम बारिश का मार कभी देर से आने वाले मॉनसून की वजह से
5348024557506159_f698_chunk_2_subchunk_1.wav,खासतौर पर जीरों की जो खेती,खासतौर पर जीरों की जो खेती
5348024557506159_f698_chunk_3_subchunk_1.wav,यह बेमौसम,यह बेमौसम
5348024557506159_f698_chunk_4_subchunk_1.wav,जो गुजराती में जिसे माउठू कहते हैं उसकी वजह से और आम का पाक जो सौराष्ट्र में ज़्यादातर लिया जाता,जो गुजराती में जिसे माउठू कहते हैं उसकी वजह से और आम का पाक जो सौराष्ट्र में ज़्यादातर लिया जाता
5348024557506159_f698_chunk_5_subchunk_1.wav,शुगरकेन गन्ने की जो खेती है उसको भी ज़्यादा बारिश,शुगरकेन गन्ने की जो खेती है उसको भी ज़्यादा बारिश
5348024557506159_f698_chunk_6_subchunk_1.wav,,
5348024557506159_f698_chunk_7_subchunk_1.wav,,
5348024557506159_f698_chunk_8_subchunk_1.wav,दरिया किनारों के क्षेत्रों में प्रभावित होता है और जहाँ,दरिया किनारों के क्षेत्रों में प्रभावित होता है और जहाँ
5348024557506159_f698_chunk_9_subchunk_1.wav,,
5348024557506161_f880_chunk_0_subchunk_1.wav,यदि एक महत्त्वपूर्ण त्रुटि होती है तो क्षतिग्रस्त कोशिका क्रमादेशित कोशिका मृत्यु,यदि एक महत्त्वपूर्ण त्रुटि होती है तो क्षतिग्रस्त कोशिका क्रमादेशित कोशिका मृत्यु
5348024557506162_f1632_chunk_0_subchunk_1.wav,बताया कि कौण्डिन्य ने अपनी खोज के दौरान,बताया कि कौण्डिन्य ने अपनी खोज के दौरान
5348024557506165_f2175_chunk_0_subchunk_1.wav,रिमोट सेंसर,रिमोट सेंसर
5348024557506168_f1092_chunk_0_subchunk_1.wav,हल्का शास्त्रीय,हल्का शास्त्रीय
5348024557506171_f1762_chunk_0_subchunk_1.wav,क्या आप हेयर,क्या आप हेयर
5348024557506172_f881_chunk_0_subchunk_1.wav,ब्रांड क्लासमेट के नए लॉन्च,ब्रांड क्लासमेट के नए लॉन्च
5348024557506173_f1757_chunk_0_subchunk_1.wav,क्या आप सत्यापित कर सकते हैं कि छह सौ,क्या आप सत्यापित कर सकते हैं कि छह सौ
5348024557506174_f1758_chunk_0_subchunk_1.wav,क्या आठ छः शून्य सात चार सात छः,क्या आठ छः शून्य सात चार सात छः
5348024557506179_f1759_chunk_0_subchunk_1.wav,फ़ोन नम्बर सात सात आठ पाँच पाँच सात सात छः चार,फ़ोन नम्बर सात सात आठ पाँच पाँच सात सात छः चार
5348024557506180_f1760_chunk_0_subchunk_1.wav,टीका प्रमाणपत्र डाउनलोड करने के लिए कृपया आपके पंजीकृत फ़ोन नम्बर आठ एक पाँच चार,टीका प्रमाणपत्र डाउनलोड करने के लिए कृपया आपके पंजीकृत फ़ोन नम्बर आठ एक पाँच चार
5348024557506190_f1761_chunk_0_subchunk_1.wav,,
5348024557506195_f96_chunk_0_subchunk_1.wav,दरभंगा समस्तीपुर,दरभंगा समस्तीपुर
5348024557506201_f547_chunk_0_subchunk_1.wav,हिंदी हमारी राष्ट्र,हिंदी हमारी राष्ट्र
5348024557506201_f547_chunk_1_subchunk_1.wav,हिंदी,हिंदी
5348024557506201_f547_chunk_2_subchunk_1.wav,सभी को बोलनी आती है जिससे हम,सभी को बोलनी आती है जिससे हम
5348024557506201_f547_chunk_3_subchunk_1.wav,कोई संकोच नहीं करते आसानी से हम अपनी बातों को दूसरे को समझा सकते हैं और लैंग्वेज में कठिनाई होती है सभी को नहीं आ रही होती है जैसे,कोई संकोच नहीं करते आसानी से हम अपनी बातों को दूसरे को समझा सकते हैं और लैंग्वेज में कठिनाई होती है सभी को नहीं आ रही होती है जैसे
5348024557506201_f547_chunk_4_subchunk_1.wav,और इंटरेस्टिंग क्या है आप जब भी हिंदी में कुछ बोलते हो तो,और इंटरेस्टिंग क्या है आप जब भी हिंदी में कुछ बोलते हो तो
5348024557506201_f547_chunk_5_subchunk_1.wav,में और निखार लाते हैं और अपनी भाषा को अच्छे से अच्छे शब्दों से सुशोभित करके तब आप,में और निखार लाते हैं और अपनी भाषा को अच्छे से अच्छे शब्दों से सुशोभित करके तब आप
5348024557506201_f547_chunk_6_subchunk_1.wav,और हिंदी भाषा बहुत,और हिंदी भाषा बहुत
5348024557506201_f547_chunk_7_subchunk_1.wav,इसमें गीत संगीत भी सुन तो सुनने में बहुत आनंद आनंद आता,इसमें गीत संगीत भी सुन तो सुनने में बहुत आनंद आनंद आता
5348024557506202_f299_chunk_0_subchunk_1.wav,मैं थोड़ी सफाई की,मैं थोड़ी सफाई की
5348024557506202_f299_chunk_1_subchunk_1.wav,पड़े धोने के लिए पानी की पूरे दिन आवश्यकता होती रहती,पड़े धोने के लिए पानी की पूरे दिन आवश्यकता होती रहती
5348024557506202_f299_chunk_2_subchunk_1.wav,और मैं प्लांट्स लगा रखी हूँ तो मुझे उन प्लांट्स के लिए भी पानी की आवश्यकती,और मैं प्लांट्स लगा रखी हूँ तो मुझे उन प्लांट्स के लिए भी पानी की आवश्यकती
5348024557506202_f299_chunk_3_subchunk_1.wav,तो मैं वेस्ट नहीं करती,तो मैं वेस्ट नहीं करती
5348024557506207_f546_chunk_0_subchunk_1.wav,मुझे शादी वियाह विवाह में अपने क्षेत्र के पारम्परिक गीत गाना बहुत पसंद है,मुझे शादी वियाह विवाह में अपने क्षेत्र के पारम्परिक गीत गाना बहुत पसंद है
5348024557506207_f546_chunk_1_subchunk_1.wav,,
5348024557506210_f549_chunk_0_subchunk_1.wav,हमारे स्टेट के,हमारे स्टेट के
5348024557506210_f549_chunk_10_subchunk_1.wav,लेकिन जो पढ़े लिखे लोग हैं वह,लेकिन जो पढ़े लिखे लोग हैं वह
5348024557506210_f549_chunk_11_subchunk_1.wav,वह इन सब,वह इन सब
5348024557506210_f549_chunk_12_subchunk_1.wav,वह शिक्षा को,वह शिक्षा को
5348024557506210_f549_chunk_13_subchunk_1.wav,तो,तो
5348024557506210_f549_chunk_14_subchunk_1.wav,जिसके,जिसके
5348024557506210_f549_chunk_15_subchunk_1.wav,समाज का धीरे धीरे,समाज का धीरे धीरे
5348024557506210_f549_chunk_1_subchunk_1.wav,विद्यमान है जो कि एक क्रू कुप्रथा है जिसके तहत जाति का वर्गीकरण किया जाता है और इसके तहत जो निम्न वर्ग,विद्यमान है जो कि एक क्रू कुप्रथा है जिसके तहत जाति का वर्गीकरण किया जाता है और इसके तहत जो निम्न वर्ग
5348024557506210_f549_chunk_2_subchunk_1.wav,अब लोग शिक्षित हो रहे हैं,अब लोग शिक्षित हो रहे हैं
5348024557506210_f549_chunk_3_subchunk_1.wav,जाति प्रथा को,जाति प्रथा को
5348024557506210_f549_chunk_4_subchunk_1.wav,का साहस होता जा रहा है जाति,का साहस होता जा रहा है जाति
5348024557506210_f549_chunk_5_subchunk_1.wav,लेकिन,लेकिन
5348024557506210_f549_chunk_6_subchunk_1.wav,गाँव सबके,गाँव सबके
5348024557506210_f549_chunk_7_subchunk_1.wav,वर्ण,वर्ण
5348024557506210_f549_chunk_8_subchunk_1.wav,छूआ छूत,छूआ छूत
5348024557506210_f549_chunk_9_subchunk_1.wav,भावना वि माइंड में,भावना वि माइंड में
