Reference,Hypothesis,WER
खुला,खुला,0.0
मेरे राज्य गुजरात में एन्टर्टेनमेन्ट इन्डस्ट्री,मेरे राज्य गुजरात में एन्टर्टेनमेन्ट इन्डस्ट्री,0.0
वह है गुजराती फ़िल्म इंडस्ट्री को कैसे खड़ा किया जा सके पिछले दस बारह सालों से यह प्रयास,वह है गुजराती फ़िल्म इंडस्ट्री को कैसे खड़ा किया जा सके पिछले दस बारह सालों से यह प्रयास,0.0
के प्रयास किए हैं लेकिन ज़्यादातर ऐसा,के प्रयास किए हैं लेकिन ज़्यादातर ऐसा,0.0
वह गुजराती कॉमेडी नाटकों का फ़िल्म रूपांतर बन कर रह गई है,वह गुजराती कॉमेडी नाटकों का फ़िल्म रूपांतर बन कर रह गई है,0.0
और दर्शक,और दर्शक,0.0
पहले से ही हिंदी फ़िल्मों के और हिंदी कंटेंट,पहले से ही हिंदी फ़िल्मों के और हिंदी कंटेंट,0.0
फ़िल्मों के प्रति इतने जल्दी आकर्षित नहीं होते हैं तो अगर वह मल्टीप्लेक्स में जाते हैं और उनके पास अगर दो विकल्प हैं,फ़िल्मों के प्रति इतने जल्दी आकर्षित नहीं होते हैं तो अगर वह मल्टीप्लेक्स में जाते हैं और उनके पास अगर दो विकल्प हैं,0.0
जब से ओ टी टी आया है इन्टरनेट आया है सोशल मीडिया आया है तब,जब से ओ टी टी आया है इन्टरनेट आया है सोशल मीडिया आया है तब,0.0
हमारे सौर मंडल में पृथ्वी,हमारे सौर मंडल में पृथ्वी,0.0
तो क्या ऐसा,तो क्या ऐसा,0.0
आज के दौर में वहाँ पर विकसित जीव सृष्टि पनप,आज के दौर में वहाँ पर विकसित जीव सृष्टि पनप,0.0
जीव सृष्टि है ऐसे कोई प्रमाण नहीं मिले हैं मंगल पर जीव सृष्टि होने की थ्योरीज़ काफ़ी दशकों से चलती आ रही,जीव सृष्टि है ऐसे कोई प्रमाण नहीं मिले हैं मंगल पर जीव सृष्टि होने की थ्योरीज़ काफ़ी दशकों से चलती आ रही,0.0
लेकिन जहाँ तक हमें मार्स रोवर,लेकिन जहाँ तक हमें मार्स रोवर,0.0
वहाँ,वहाँ,0.0
अगर जीव सृष्टी है तो वह,अगर जीव सृष्टी है तो वह,0.0
हम,हम,0.0
एक्सटर्नल लाइफ ऑन अदर प्लनेट्स की व्याख्या में रखें ऐसी कोई जीव,एक्सटर्नल लाइफ ऑन अदर प्लनेट्स की व्याख्या में रखें ऐसी कोई जीव,0.0
और जहाँ तक मुझे आकर्षित करने वाली थियरीज़ की बात है तो,और जहाँ तक मुझे आकर्षित करने वाली थियरीज़ की बात है तो,0.0
लाखों प्रकाश वर्ष दूर है करोड़ों प्रकाश वर्ष दूर है,लाखों प्रकाश वर्ष दूर है करोड़ों प्रकाश वर्ष दूर है,0.0
अपने साथ जो इन्फर्मेशन लाता है,अपने साथ जो इन्फर्मेशन लाता है,0.0
हमारे राज्य में कृषि को ज़्यादा असर पहुँचाने वाले,हमारे राज्य में कृषि को ज़्यादा असर पहुँचाने वाले,0.0
जहाँ तक किसानों की,जहाँ तक किसानों की,0.0
nan,nan,0.0
ऐसी बेमौसम,ऐसी बेमौसम,0.0
ज़्यादा बारिश की वजह से अपनी फसल में होने वाले नुकसान के,ज़्यादा बारिश की वजह से अपनी फसल में होने वाले नुकसान के,0.0
हर संभव प्रयास,हर संभव प्रयास,0.0
कभी कभार मुआवजों में कमी या फिर मुआवजे देरी से,कभी कभार मुआवजों में कमी या फिर मुआवजे देरी से,0.0
कभी बेमौसम बारिश का मार कभी देर से आने वाले मॉनसून की वजह से,कभी बेमौसम बारिश का मार कभी देर से आने वाले मॉनसून की वजह से,0.0
खासतौर पर जीरों की जो खेती,खासतौर पर जीरों की जो खेती,0.0
यह बेमौसम,यह बेमौसम,0.0
जो गुजराती में जिसे माउठू कहते हैं उसकी वजह से और आम का पाक जो सौराष्ट्र में ज़्यादातर लिया जाता,जो गुजराती में जिसे माउठू कहते हैं उसकी वजह से और आम का पाक जो सौराष्ट्र में ज़्यादातर लिया जाता,0.0
शुगरकेन गन्ने की जो खेती है उसको भी ज़्यादा बारिश,शुगरकेन गन्ने की जो खेती है उसको भी ज़्यादा बारिश,0.0
nan,nan,0.0
nan,nan,0.0
दरिया किनारों के क्षेत्रों में प्रभावित होता है और जहाँ,दरिया किनारों के क्षेत्रों में प्रभावित होता है और जहाँ,0.0
nan,nan,0.0
यदि एक महत्त्वपूर्ण त्रुटि होती है तो क्षतिग्रस्त कोशिका क्रमादेशित कोशिका मृत्यु,यदि एक महत्त्वपूर्ण त्रुटि होती है तो क्षतिग्रस्त कोशिका क्रमादेशित कोशिका मृत्यु,0.0
बताया कि कौण्डिन्य ने अपनी खोज के दौरान,बताया कि कौण्डिन्य ने अपनी खोज के दौरान,0.0
रिमोट सेंसर,रिमोट सेंसर,0.0
हल्का शास्त्रीय,हल्का शास्त्रीय,0.0
क्या आप हेयर,क्या आप हेयर,0.0
ब्रांड क्लासमेट के नए लॉन्च,ब्रांड क्लासमेट के नए लॉन्च,0.0
क्या आप सत्यापित कर सकते हैं कि छह सौ,क्या आप सत्यापित कर सकते हैं कि छह सौ,0.0
