Reference,Hypothesis,WER
खुला,मुझे बताओ मेरे पास कौनसी सूचियां है,7.0
मेरे राज्य गुजरात में एन्टर्टेनमेन्ट इन्डस्ट्री,इसका एकोनॉमी बढ़ गया है,1.0
वह है गुजराती फ़िल्म इंडस्ट्री को कैसे खड़ा किया जा सके पिछले दस बारह सालों से यह प्रयास,इस तरह मेरी डर दूर हो गया,1.0
के प्रयास किए हैं लेकिन ज़्यादातर ऐसा,स्पेंड करने से उनकी शारीरिक क्षमताओं और,1.0
वह गुजराती कॉमेडी नाटकों का फ़िल्म रूपांतर बन कर रह गई है,दूसरे के साथ,1.0
और दर्शक,ब सॉल् हो सकती है,2.5
पहले से ही हिंदी फ़िल्मों के और हिंदी कंटेंट,नेस्केफे गोल्ड ओरिजनल रोस्टेट कॉफी को पिछले ऑर्डर में बताई गई समानमात्रा के साथ फिर से ऑर्डर करें,1.8889
फ़िल्मों के प्रति इतने जल्दी आकर्षित नहीं होते हैं तो अगर वह मल्टीप्लेक्स में जाते हैं और उनके पास अगर दो विकल्प हैं,मैं ये कह सकता हूं कि,1.0
जब से ओ टी टी आया है इन्टरनेट आया है सोशल मीडिया आया है तब,उन सभी निशुल्क टीकाकरण केंद्रों की सूची बनाए जो कोवैक्सीन की बूसर डोज देते हैं,1.0
हमारे सौर मंडल में पृथ्वी,हमारे गांव में गांव में और मेरे घर के ही पास जुड्डेन हैं,2.2
तो क्या ऐसा,क लगाते थे वो भात,1.6667
आज के दौर में वहाँ पर विकसित जीव सृष्टि पनप,कृपया दस हजार रुपे मेरे पेयूमनी वॉलेट में ट्रांसफर करें,1.0
जीव सृष्टि है ऐसे कोई प्रमाण नहीं मिले हैं मंगल पर जीव सृष्टि होने की थ्योरीज़ काफ़ी दशकों से चलती आ रही,निजामाबाद,1.0
लेकिन जहाँ तक हमें मार्स रोवर,ब्राजील,1.0
वहाँ,वो जो कोविड के बारे में जो मेरा एक्सप्रेंस था मतलब सभी जगह एक तरफ का डरसा हो गया था,20.0
अगर जीव सृष्टी है तो वह,ये रंग और रोशनी का त्योहार है,1.1667
हम,मैं लाना ग्रीनबोड ग्रीनटी कुबेड इंडस्ट्रीज दिजनी प्रिंटेड कैंफ स लॉनड्रीबेग और बेलाविटा ऑर्गेनिक आइलिफ्ट अंडराइ क्रीमजेल वाले अपने ऑर्डर की ्स्थिति जना चाहता हूं,25.0
एक्सटर्नल लाइफ ऑन अदर प्लनेट्स की व्याख्या में रखें ऐसी कोई जीव,मुझे बताओ कि गोबी पराठा कैसे बनाते हैं,1.0
और जहाँ तक मुझे आकर्षित करने वाली थियरीज़ की बात है तो,सर्वोत्वमुख अभिवृद्धि उसको हो इस प्रकार में सहायता करने के लिए एक अच्छा विकल्प है,1.1667
लाखों प्रकाश वर्ष दूर है करोड़ों प्रकाश वर्ष दूर है,अगर मुझे अपने घर में लोगों को लंच या डेलनर में बुलाना पड़े तो कोई न कोई इवेंट होता है,1.9
अपने साथ जो इन्फर्मेशन लाता है,मुझे घनलक्ष्मी बैंक में ारहजार रुपये से के अटके लेनदेन में राशि वापस कब मिलेगी,2.5
हमारे राज्य में कृषि को ज़्यादा असर पहुँचाने वाले,सच्चाई को सुनिश्चित करने के लिए,0.8889
जहाँ तक किसानों की,मुझे ट्रेडिशनल कपड़े बहुत अच्छे लगते हैं तो बाहोबली के जो कास्टिंग थी या उसमें जो ड्रेसिंग फेंसथा या ड्रेसेस थै वो मुझे बहुत अच्छा लगा,6.5
nan,मारवड जो हिंदू धर्म के लिए,6.0
ऐसी बेमौसम,नहीं है,1.0
ज़्यादा बारिश की वजह से अपनी फसल में होने वाले नुकसान के,वहां पे हमने,1.0
हर संभव प्रयास,शल्य चिकित्सक उन्हें नियमित रूप से निकाल देते थे और ऐसा लगता था कि रोगियों के स्वास्थ्य पर इसका कोई बुरा प्रभाव नहीं पड़ता था,8.3333
कभी कभार मुआवजों में कमी या फिर मुआवजे देरी से,न्यूयॉर्क शहर में इस समय क्या समय है,0.9
कभी बेमौसम बारिश का मार कभी देर से आने वाले मॉनसून की वजह से,प्रकार का जो एक वाद पद्धति है वो देखने को मिलता है वो मुझे महन अच्छा लगता था,1.2857
खासतौर पर जीरों की जो खेती,बोमबुचा आम टर्मरिक कंबुचा की उपलब्धता स्थिति क्या है,1.3333
यह बेमौसम,काम होता है वो मेरे से बहुत ही कठिन होता था मचस बाकी बहुत ही अच्छा रहा दर्शनशास्त्र इसलिए अच्छा है क्योंकि उसमें वाद,12.0
जो गुजराती में जिसे माउठू कहते हैं उसकी वजह से और आम का पाक जो सौराष्ट्र में ज़्यादातर लिया जाता,पहले गरपे घर के सदस्य हऔरब,1.0
शुगरकेन गन्ने की जो खेती है उसको भी ज़्यादा बारिश,हिंदी मोशली,1.0
nan,वन व्यवस्था है,3.0
nan,पंजीकृत मोबाइल नंबर के लिए शैक्षणिक वर्ष से में आवेदन किये गए सभी ताजा छात्रवृत्ति आवेदन ढूंढे,17.0
दरिया किनारों के क्षेत्रों में प्रभावित होता है और जहाँ,क्या मुझे कोवैक्स टीका जिला धलाई में मिल सकता है,1.0
nan,भी काम करना पड़ रहा है मुझे पैसे इकट्ठे करने है फिर मुझे अपनी पढ़ाई करनी या फिर मुझे बात करनी होगी लोगों से कि रास्ता कैसे ठीक से चला जा सके आराम से,34.0
यदि एक महत्त्वपूर्ण त्रुटि होती है तो क्षतिग्रस्त कोशिका क्रमादेशित कोशिका मृत्यु,युवा पीढ़ी खेलकूद में अपना योगदान दे रहे हैं,1.0
बताया कि कौण्डिन्य ने अपनी खोज के दौरान,किसी भी प्रभाव या सेंसरशिप के बिना काम करने में सक्षम होते हैं और मीडिया आउटलेट्स के द्वारा,2.125
रिमोट सेंसर,किसी को खासी होगी किसी को छीक हो गई उवो सुनतेही दूसरे दूसरों के दड़कनी बढ़ती थी ह उसको कुछ हो गया हमको भी कुछ हो जाएगा ऐसा डर था,15.0
हल्का शास्त्रीय,बी विशाल मिला एमवीएस मिले,2.5
क्या आप हेयर,कोई एक शिक्षक अपना विद्यालयीय समय में सही नहीं पढ़ाते हुए,3.6667
ब्रांड क्लासमेट के नए लॉन्च,जीवसृष्टि है ऐसे कोई प्रमाण नहीं मिले है मंगल पे जीवसृष्टि होने की थीयरीज काफी दशकों से चलती आ रही है उसपें काफी किताबें भी लिखी गई है और काफी साइंसफिक्शन फेंटसी फिल्में भी बन चुकी है मार्शियन अटेक्स्टाइप की,8.0
क्या आप सत्यापित कर सकते हैं कि छह सौ,कुछ गलतियां निकाल सकूं हालांकि अगर एक आमगायक की बात आती है तो वो होता है रियास जो मुझे लगता है कि हम,2.5556
क्या आठ छः शून्य सात चार सात छः,मैं अपने खरीदारी कार्ड से प्रेशरडाइस्ट ब्रॉडबीनस और बेलाविटा ऑर्गैनिक आइलिफ्ट अंडराइ क्रेंचल हटाना चाहता हूं इनके अलावा ट्वेंटीफोर मंत्रा राइसफ्ला क्रेमिका मिक्सफ्रूट जैम को भी हटा दें,3.5
फ़ोन नम्बर सात सात आठ पाँच पाँच सात सात छः चार,बस,1.0
टीका प्रमाणपत्र डाउनलोड करने के लिए कृपया आपके पंजीकृत फ़ोन नम्बर आठ एक पाँच चार,आज रात को पवन गिरी के बारे में पूर्वानुमान डूंडो,1.0
nan,कहता युग में,3.0
दरभंगा समस्तीपुर,क्या बंचस का मेरा आर्डर बेच दिया गया है वह कब डेलवरी किया जाएगा,7.0
हिंदी हमारी राष्ट्र,गोपी जल्दी से नीचे आओ मुझे तुम्हें कुछ दिखाना है,3.3333
हिंदी,संपूर्ण बैंगलूरु में जलशुद्धिकरण संयंत्र जैसे सभी के लिए किफायती मूल्य पर शुद्ध जल उपलब्ध हो सके,17.0
सभी को बोलनी आती है जिससे हम,तो थोड़ी देर के लिए,1.0
कोई संकोच नहीं करते आसानी से हम अपनी बातों को दूसरे को समझा सकते हैं और लैंग्वेज में कठिनाई होती है सभी को नहीं आ रही होती है जैसे,कुछ धुन बजाओ,1.0
और इंटरेस्टिंग क्या है आप जब भी हिंदी में कुछ बोलते हो तो,त्यादि होता है और मैं निजी जिनंदगी में भी जब मैं करता हूँ उसी प्रकार का एक कोई विषयक उपस्थापन करना हो या दिशसे कुच् विषय को समझान उस विषय से हम हैं जिस प्रकार शास्त्र में पद्धति होती है मंड में करोना और खंडन करना भोपद्धति में अपनाता हू,3.6154
में और निखार लाते हैं और अपनी भाषा को अच्छे से अच्छे शब्दों से सुशोभित करके तब आप,मेरे घर पे मेरे पैरेंस है जो ऑल जेनरेशन को बिॉन्ग करते है और मेरे भाईका बेटा है जो यंगा जेनरेशन को बिलॉन्ग करता है,1.3333
और हिंदी भाषा बहुत,अब यूट्यूबर में क्या है कि आजकल बच्चों के लिए बहुत आसान है ये अपनी पढ़ाई करने के साथसाथ एक यूट्यूब चैनल खोल लेते हैं जहां पर यह अपना,7.0
इसमें गीत संगीत भी सुन तो सुनने में बहुत आनंद आनंद आता,इसे मकर संक्रांति,1.0
मैं थोड़ी सफाई की,एसेंशियल और जरूरी,1.0
पड़े धोने के लिए पानी की पूरे दिन आवश्यकता होती रहती,बाहर से आता है घर के अंदर उसमें ये जो जब पैरों को इसके ऊपर घिसते हैं तो,1.5455
और मैं प्लांट्स लगा रखी हूँ तो मुझे उन प्लांट्स के लिए भी पानी की आवश्यकती,यहां जो भी स्पॉट है वो देखते हैं और हमारे गांव के नजदीक ही सावे वेरे गांव हैं वहां पे जाते हैं,1.3125
तो मैं वेस्ट नहीं करती,ो वो मुझे बहुत अच्छा लगता है तो कभीकभी उस तरह के कपड़ा पहना मैं पसंद करता हउंर पहनताभी हूं,3.6
मुझे शादी वियाह विवाह में अपने क्षेत्र के पारम्परिक गीत गाना बहुत पसंद है,काफी हद तक,1.0
nan,जो मां द्वारा प्राप्त पैसों से मेला घूमने जाता है और वहां मेला में उसके जितने पैसे होते हैं उसमें से वो अपनी मां के लिए चिमरोटी सेंकने वाली चिमटी लेके आता है,33.0
हमारे स्टेट के,कया मैं साऊ रुपए का पॉलिस से टाइनीटेबल टॉप डस्पिन घरीद सकता हूं,4.3333
लेकिन जो पढ़े लिखे लोग हैं वह,लेकिन जो पढ़े लिखे लोग है वो इन सबों से बहुत ऊपर उठ गए हैं,1.4286
वह इन सब,ट्रेडिशनल तर से रंगोली बनाई जाती है मा लक्ष्मी को का आह्वाहन किया जाता है कलश्मी और उन्हें साड़ी पनाई जाती ह यहर घर में हर तेलगुघर में,9.3333
वह शिक्षा को,तमिलनाडु में तमिल बोली जाती है,2.0
तो,हाँ पक्षियों को अपनी बाक्या में आकर्षित करने के लिए कुछ टिप्स हैं पक्षों के लिए अनाज और पानी रख सकते हैं पक्षी आहार यंत्र बर्डफीडर और,27.0
जिसके,उसे समझना चाहिए और अलविदा कहना चाहिए लेकिन अगर विक्रेता इस मुद्दे को दबाता है तो बस फोन रख दे,20.0
समाज का धीरे धीरे,कुछ बेबीफुड आइटम्स के सुझाव दें,1.5
विद्यमान है जो कि एक क्रू कुप्रथा है जिसके तहत जाति का वर्गीकरण किया जाता है और इसके तहत जो निम्न वर्ग,जिला अजमेर में बूस्टर डोज देने वाले सभी टीकाकरण केंद्र कौन से हैं,1.0
अब लोग शिक्षित हो रहे हैं,जो देश के लिए अच्छा नहीं है,1.1667
जाति प्रथा को,वो हर घर में एक त्योहार के मौके पर बनता ही है,4.0
का साहस होता जा रहा है जाति,कृपया कोविन प्लेटफॉर्म पर पंजीकरण करने के लिए मोबाइल नंबर ा उपयोग करें,1.8571
लेकिन,मेरी आइटम सूची में ग्राम आमूल अमरगढ जोड़ें,8.0
