File Name,Number of Speakers,Speaker Durations
5348024557507376_f754_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0019}"
5348024557507379_f2201_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0027}"
5348024557507383_f913_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557507385_f912_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0008}"
5348024557507386_f1627_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0019}"
5348024557507389_f1880_chunk_0_subchunk_1.wav,2,"{""SPEAKER_00"": 0.001, ""SPEAKER_01"": 0.0001}"
5348024557507390_f1881_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557507393_f2141_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0026}"
5348024557507394_f1064_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0034}"
5348024557507394_f1064_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0026}"
5348024557507397_f1882_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.003}"
5348024557507398_f2204_chunk_0_subchunk_1.wav,2,"{""SPEAKER_01"": 0.0, ""SPEAKER_00"": 0.0002}"
5348024557507406_f1883_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557507412_f121_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557507422_f572_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0021}"
5348024557507422_f572_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0034}"
5348024557507422_f572_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557507424_f573_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0031}"
5348024557507424_f573_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0034}"
5348024557507424_f573_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557507425_f329_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0046}"
5348024557507425_f329_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0038}"
5348024557507426_f575_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0047}"
5348024557507426_f575_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0031}"
5348024557507426_f575_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557507426_f575_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557507426_f575_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.004}"
5348024557507426_f575_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0034}"
5348024557507432_f574_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0045}"
5348024557507432_f574_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.004}"
5348024557507432_f574_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0032}"
5348024557507432_f574_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0031}"
5348024557507432_f574_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0028}"
5348024557507435_f122_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0041}"
5348024557507435_f122_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0034}"
5348024557507435_f122_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0042}"
5348024557507435_f122_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0028}"
5348024557507436_f1610_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557507438_f2202_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0024}"
5348024557507440_f1080_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557507441_f1879_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0006}"
5348024557507445_f1873_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557507447_f911_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0015}"
5348024557507450_f1572_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0032}"
5348024557507451_f1874_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0026}"
5348024557507452_f1875_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0029}"
5348024557507455_f1876_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0031}"
5348024557507459_f1878_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
