filename,ground_truth,normalized_transcripts,domain
5348024557509054_f295_chunk_8_subchunk_1.wav,बोले एक छोटे बच्चे को तुम नहीं समझा सकते हो,बोले एक छोटे बच्चे को तुम नहीं समझा सकते हो,Conversation
5348024557509054_f295_chunk_9_subchunk_1.wav,bole नहीं,bole नहीं,The general domain of the speech dataset is 'Conversation'.
5348024557509055_f95_chunk_0_subchunk_1.wav,आजकल लेकिन थे समझते पहले हम किताब हुआ किया</b> [Print],आजकल लेकिन थे समझते पहले हम किताब हुआ किया [Print],The general domain of the speech dataset is 'Conversation'.
5348024557509055_f95_chunk_10_subchunk_1.wav,तो<b> वह ज़[START]्यादा देर,तो वह ज़[START]्यादा देर,The general domain of the speech dataset is 'Conversation'.
5348024557509055_f95_chunk_11_subchunk_1.wav,for example भौतिक पुस्तक,for example भौतिक पुस्तक,Education
5348024557509055_f95_chunk_12_subchunk_1.wav,यह बिल्कुल गलत है।।है लगता अच्छा ज़्यादा,यह बिल्कुल गलत है।।है लगता अच्छा ज़्यादा,The domain of the speech dataset is best categorized as 'Conversation'.
5348024557509055_f95_chunk_13_subchunk_1.wav,पुस्तक ऑडियो ऑडि</b>यो है सुन#$%ा बुक ऑडियो <b>म[START]ैंने हाँ।यह बिल्कुल for example गलत है।,पुस्तक ऑडियो ऑडियो है सुन#$%ा बुक ऑडियो म[START]ैंने हाँ।यह बिल्कुल for example गलत है।,The general domain of the speech dataset is 'Conversation'.
5348024557509055_f95_chunk_14_subchunk_1.wav,यह बिल्कुल गलत है।।उसमें क्योंकि है लगता,यह बिल्कुल गलत है।।उसमें क्योंकि है लगता,The domain of the speech dataset is likely 'Conversation'.
5348024557509055_f95_chunk_15_subchunk_1.wav,during से,during से,The general domain of the speech dataset is 'Conversation'.
5348024557509055_f95_chunk_16_subchunk_1.wav,चीज़ों क[START]<b>ो दर्शाया जा स</b>कता#$% है,चीज़ों क[START]ो दर्शाया जा सकता#$% है,The general domain of the speech dataset is 'Conversation'.
5348024557509055_f95_chunk_17_subchunk_1.wav,लेकिन मुझे किताबें पढ़ना ऑडीयौ [Audio] बुक [Book] और ई-बूक [E-Book] से ज्यादा पसंद है,लेकिन मुझे किताबें पढ़ना ऑडीयौ [Audio] बुक [Book] और ई-बूक [E-Book] से ज्यादा पसंद है,Domain: Conversation
5348024557509055_f95_chunk_1_subchunk_1.wav,इलेक्ट्रॉनिक किताब भी आने लगे हैं या जिसे हम please note बोलते हैं पुस्तक ई किताब ऐसे बोलते,इलेक्ट्रॉनिक किताब भी आने लगे हैं या जिसे हम please note बोलते हैं पुस्तक ई किताब ऐसे बोलते,Education
5348024557509055_f95_chunk_2_subchunk_1.wav,डिजिटल पुस्तक system है इन्हें हम मोबाइल फ़ोन ya कम्[S<b></b>TART]प्यूटर माध्यम माध्यम से पढ़ सकते एकदम सही बात ह#$%ै,डिजिटल पुस्तक system है इन्हें हम मोबाइल फ़ोन ya कम्[START]प्यूटर माध्यम माध्यम से पढ़ सकते एकदम सही बात ह#$%ै,The general domain of the speech dataset is 'Education'.
5348024557509055_f95_chunk_3_subchunk_1.wav,यह बिल्कुल गलत है।।है पढ़ा पुस्तक का तरह donon बुक्स ई aur पुस्तक भौतिक है पढ़ा पुस्तक पुस्तक का तरह दोनों मैंने,यह बिल्कुल गलत है।।है पढ़ा पुस्तक का तरह donon बुक्स ई aur पुस्तक भौतिक है पढ़ा पुस्तक पुस्तक का तरह दोनों मैंने,The general domain of the speech dataset is 'Conversation'.
5348024557509055_f95_chunk_4_subchunk_1.wav,पढ़ते हम जब लेकर में हाथ पुस्तक भौतिक क्योंकि हूँ करती पसंद,पढ़ते हम जब लेकर में हाथ पुस्तक भौतिक क्योंकि हूँ करती पसंद,Education
5348024557509055_f95_chunk_5_subchunk_1.wav,त<b></b>ो वह एक अल[STAR#$%T]ग ही अनुभव होता है,तो वह एक अल[STAR#$%T]ग ही अनुभव होता है,The domain of the speech dataset is 'Conversation'.
5348024557509055_f95_chunk_6_subchunk_1.wav,यह bilkul गलत है।।हम वह है हुआ दिया जो में,यह bilkul गलत है।।हम वह है हुआ दिया जो में,The general domain of the speech dataset is 'Conversation'.
5348024557509055_f95_chunk_7_subchunk_1.wav,कल्पना करते हैं,कल्पना करते हैं,The domain of the speech dataset is 'Education'.
