filename,ground_truth,normalized_transcripts,english_word_count
5348024557507376_f754_chunk_2_subchunk_1.wav,chin कन के पास खेल को पहुँचने के लिए जागरूकता कार्यक्रम भी आयोजित करता during है,chin कन के पास खेल को पहुँचने के लिए जागरूकता कार्यक्रम भी आयोजित करता during है,7
5348024557507379_f2201_chunk_0_subchunk_1.wav,जब आप वार्षिक विवरण पढ़ते हैं हैं विशेष रूप से यदि आप कम्पनी से aprichit हैं तब आपको यहाँ से शुरुआत krnee चाहिए,जब आप वार्षिक विवरण पढ़ते हैं हैं विशेष रूप से यदि आप कम्पनी से aprichit हैं तब आपको यहाँ से शुरुआत krnee चाहिए,-1
5348024557507383_f913_chunk_0_subchunk_1.wav,जितनी जल्दी हो सके ऑर्डर तैयार तैयार करो,जितनी जल्दी हो सके ऑर्डर तैयार तैयार करो,1
5348024557507385_f912_chunk_0_subchunk_1.wav,से ताज़ा ख़बर क्या,से ताज़ा ख़बर क्या,1
5348024557507386_f1627_chunk_0_subchunk_1.wav,मुझे प्राप्त दो पाउच [Pouch] त्रेहा सैलेक्ट [Select] पैरि [Peri] पैरि [Peri] चीकन [Chicken] वींग्स [Wings] के ऑर्डर [Order] में मात्रा सही नहीं है,मुझे प्राप्त दो पाउच  त्रेहा सैलेक्ट  पैरि  पैरि  चीकन  वींग्स  के ऑर्डर  में मात्रा सही नहीं है,-1
5348024557507389_f1880_chunk_0_subchunk_1.wav,क्रेयॉ[START]न<b> [#$%Crayon] के ऑफ़र [Offer] वाल</b>े सभी ब्रांडों की सूची बनाएँ,क्रेयॉन  के ऑफ़र  वाले सभी ब्रांडों की सूची बनाएँ,-1
5348024557507390_f1881_chunk_0_subchunk_1.wav,एयरटेल मनी पर मेरी[START] संपर्क#$% सूची के,एयरटेल मनी पर मेरी संपर्क सूची के,1
5348024557507393_f2141_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।करें स्कैन को कोड आर क्यू लिए के करने,यह बिल्कुल गलत है।।करें स्कैन को कोड आर क्यू लिए के करने,-1
5348024557507394_f1064_chunk_0_subchunk_1.wav,सात तीन एक छः शून्य तीन पाँच आठ शून्य दो शून्य सात शून्य दो शून्य दो एम हेच डी आई आवेदन पंजीकृत।यह बिल्कुल गलत है। एकदम सही बात है,सात तीन एक छः शून्य तीन पाँच आठ शून्य दो शून्य सात शून्य दो शून्य दो एम हेच डी आई आवेदन पंजीकृत।यह बिल्कुल गलत है। एकदम सही बात है,-1
5348024557507394_f1064_chunk_1_subchunk_1.wav,और जन्मतिथि system बारह पाँच दो हज़ार बाईस के लिए सभी ताजा छात्रवृत्ति आवेदन ढूंढ़ें एकदम सही बात है,और जन्मतिथि system बारह पाँच दो हज़ार बाईस के लिए सभी ताजा छात्रवृत्ति आवेदन ढूंढ़ें एकदम सही बात है,-1
5348024557507397_f1882_chunk_0_subchunk_1.wav,आई पी एफ ओ साइन please note इन ओ tee पी मोबाइल नम्बर nau आठ छः छः एक छः चार एक शून्य नौ तीन पर भेज दिया गया है,आई पी एफ ओ साइन please note इन ओ tee पी मोबाइल नम्बर nau आठ छः छः एक छः चार एक शून्य नौ तीन पर भेज दिया गया है,-1
5348024557507398_f2204_chunk_0_subchunk_1.wav,paln,paln,1
5348024557507406_f1883_chunk_0_subchunk_1.wav,बंद,बंद,1
5348024557507412_f121_chunk_0_subchunk_1.wav,चंगलपेट तिरुवल्लूर,चंगलपेट तिरुवल्लूर,0
