filename,ground_truth,normalized_transcripts,domain
5348024557509054_f295_chunk_8_subchunk_1.wav,बोले एक छोटे बच्चे को तुम नहीं समझा सकते हो,बोले एक छोटे बच्चे को तुम नहीं समझा सकते हो,"आधारित परीक्षण के बाद, मैं इस नॉर्मलाइज़ किए गए हिंदी ट्रांसक्रिप्ट को विश्लेषण करने का प्रयास करता हूं।

ट्रांसक्रिप्ट में उपयोग किए गए शब्दों और वाक्यों के आधार पर, मैं इसे 'संवाद' या 'बातचीत' के क्षेत्र में रख सकता हूं। यह ट्रांसक्रिप्ट एक व्यक्ति के द्वारा दूसरे व्यक्ति को कुछ समझाने की कोशिश करने का प्रतिनिधित्व करता है, जो इसे एक सामान्य संवाद के रूप में संकेत देता है।"
5348024557509054_f295_chunk_9_subchunk_1.wav,bole नहीं,bole नहीं,"Based on the given normalized Hindi transcript ""bole नहीं"", I would determine the general domain of the speech dataset as 'Conversation'. 

The word ""bole"" (बोले) means ""said"" or ""spoken"", which is a common phrase used in conversations. The word ""नहीं"" (nahin) means ""no"" or ""not"", which is often used in responses to questions or statements. This suggests that the transcript is a snippet of a casual conversation, possibly between two people."
5348024557509055_f95_chunk_0_subchunk_1.wav,आजकल लेकिन थे समझते पहले हम किताब हुआ किया</b> [Print],आजकल लेकिन थे समझते पहले हम किताब हुआ किया [Print],"Based on the given Hindi transcript, I would analyze it as a 'Conversation' or 'Interview' domain. The informal tone and the use of colloquial expressions like 'आजकल' (ajkal, meaning 'these days') suggest a casual conversation. However, the presence of a question-like structure 'पहले हम किताब हुआ किया' (pahle hum kitab hua kiya, meaning 'what happened to us first') might also indicate an interview setting."
5348024557509055_f95_chunk_10_subchunk_1.wav,तो<b> वह ज़[START]्यादा देर,तो वह ज़[START]्यादा देर,"Based on the given normalized Hindi transcript, I would analyze it as a 'Conversation'. 

The transcript seems to be a part of a casual conversation where the speaker is saying ""तो वह ज़[START]्यादा देर"" which translates to ""So, he was waiting for a long time"". This kind of language usage is typical in everyday conversations, making it likely that the domain is 'Conversation'."
5348024557509055_f95_chunk_11_subchunk_1.wav,for example भौतिक पुस्तक,for example भौतिक पुस्तक,"Based on the given transcript, I would analyze it as a 'Conversation' or 'Education' domain. 

The phrase ""for example"" is often used in educational contexts to explain a concept or illustrate a point. The use of ""भौतिक पुस्तक"" (bhautik pustak), which translates to ""physics book,"" further supports this analysis, as it suggests a discussion about a specific subject or topic, likely in an educational setting."
5348024557509055_f95_chunk_12_subchunk_1.wav,यह बिल्कुल गलत है।।है लगता अच्छा ज़्यादा,यह बिल्कुल गलत है।।है लगता अच्छा ज़्यादा,"आधारित परीक्षण के आधार पर, मैं इस नॉर्मलाइज़ किए गए हिंदी ट्रांसक्रिप्ट का विश्लेषण करता हूं और यह निष्कर्ष निकालता हूं कि यह 'Conversation' के क्षेत्र से संबंधित है।"
5348024557509055_f95_chunk_13_subchunk_1.wav,पुस्तक ऑडियो ऑडि</b>यो है सुन#$%ा बुक ऑडियो <b>म[START]ैंने हाँ।यह बिल्कुल for example गलत है।,पुस्तक ऑडियो ऑडियो है सुन#$%ा बुक ऑडियो म[START]ैंने हाँ।यह बिल्कुल for example गलत है।,"आधारित विश्लेषण के बाद, मुझे लगता है कि इस स्पीच डेटा का क्षेत्र है: 'Education'।

यह अनुमान इस बात पर आधारित है कि स्पीच में एक प्रश्न का उत्तर दिया जा रहा है और एक गलती की पहचान की जा रही है, जो एक शिक्षा से संबंधित संवाद की विशेषता है।"
5348024557509055_f95_chunk_14_subchunk_1.wav,यह बिल्कुल गलत है।।उसमें क्योंकि है लगता,यह बिल्कुल गलत है।।उसमें क्योंकि है लगता,"आधिकारिक रूप से यह प्रतिलेखन को विश्लेषण करने के लिए, मैं कुछ सामान्य बातों को ध्यान में रखूंगा:

- भाषा और वाक्य रचना: यह वाक्य बहुत छोटा और सीधा है, जो अक्सर नाराज़गी या असंतुष्टता के भाव को व्यक्त करता है।
- शब्दावली: शब्दों का चयन भी नाराज़गी को दर्शाता है, जैसे कि ""बिल्कुल गलत"" और ""लगता""।
- संरचना: यह वाक्य एक प्रश्न के बजाय एक वाक्य के रूप में है, जो अक्सर शिकायत या आलोचना को व्यक्त करने के लिए उपयोग किया जाता है।

इन बातों को ध्यान में रखते हुए, मैं इस प्रतिलेखन को ""शिकायत"" या ""ग्रीवांस"" के क्षेत्र से जोड़ सकता हूं, लेकिन एक सामान्य शब्द के रूप में ""शिकायत"" उपयुक्त होगा।"
5348024557509055_f95_chunk_15_subchunk_1.wav,during से,during से,"Based on the given normalized Hindi transcript ""during से"", I would analyze it as a phrase that is commonly used in formal or written contexts, possibly in a structured format like a survey or a questionnaire.

Considering the general domain, I would categorize it as 'Survey'."
5348024557509055_f95_chunk_16_subchunk_1.wav,चीज़ों क[START]<b>ो दर्शाया जा स</b>कता#$% है,चीज़ों क[START]ो दर्शाया जा सकता#$% है,"आधिकारिक रूप से सामान्यीकृत हिंदी पाठ का विश्लेषण करने के बाद, मैं इसे शिक्षा या शैक्षिक संदर्भ में वर्गीकृत करूंगा।"
5348024557509055_f95_chunk_17_subchunk_1.wav,लेकिन मुझे किताबें पढ़ना ऑडीयौ [Audio] बुक [Book] और ई-बूक [E-Book] से ज्यादा पसंद है,लेकिन मुझे किताबें पढ़ना ऑडीयौ [Audio] बुक [Book] और ई-बूक [E-Book] से ज्यादा पसंद है,आउटपुट: 'Education'
5348024557509055_f95_chunk_1_subchunk_1.wav,इलेक्ट्रॉनिक किताब भी आने लगे हैं या जिसे हम please note बोलते हैं पुस्तक ई किताब ऐसे बोलते,इलेक्ट्रॉनिक किताब भी आने लगे हैं या जिसे हम please note बोलते हैं पुस्तक ई किताब ऐसे बोलते,"आfter analyzing the transcript, I would categorize the domain as 'Education'. 

Reasons for this categorization:

1. The transcript contains words related to books and reading, such as 'इलेक्ट्रॉनिक किताब', 'पुस्तक', and 'ई किताब', which suggests a discussion about educational materials.
2. The phrase 'please note' is often used in educational settings to emphasize important information.
3. The tone of the transcript appears to be informative, which is consistent with educational content."
5348024557509055_f95_chunk_2_subchunk_1.wav,डिजिटल पुस्तक system है इन्हें हम मोबाइल फ़ोन ya कम्[S<b></b>TART]प्यूटर माध्यम माध्यम से पढ़ सकते एकदम सही बात ह#$%ै,डिजिटल पुस्तक system है इन्हें हम मोबाइल फ़ोन ya कम्[START]प्यूटर माध्यम माध्यम से पढ़ सकते एकदम सही बात ह#$%ै,"Based on the given Hindi transcript, I would analyze it as a 'Conversation' or 'Discussion' domain. The language used is informal and casual, with a mix of formal and colloquial expressions. The speaker seems to be discussing a topic (डिजिटल पुस्तक system) in a conversational tone, which is typical of everyday conversations or discussions."
5348024557509055_f95_chunk_3_subchunk_1.wav,यह बिल्कुल गलत है।।है पढ़ा पुस्तक का तरह donon बुक्स ई aur पुस्तक भौतिक है पढ़ा पुस्तक पुस्तक का तरह दोनों मैंने,यह बिल्कुल गलत है।।है पढ़ा पुस्तक का तरह donon बुक्स ई aur पुस्तक भौतिक है पढ़ा पुस्तक पुस्तक का तरह दोनों मैंने,"आधारित परीक्षण के बाद, मैंने निष्कर्ष निकाला है कि इस स्पीच डेटा का क्षेत्र है: 'शिक्षा' (Education)"
5348024557509055_f95_chunk_4_subchunk_1.wav,पढ़ते हम जब लेकर में हाथ पुस्तक भौतिक क्योंकि हूँ करती पसंद,पढ़ते हम जब लेकर में हाथ पुस्तक भौतिक क्योंकि हूँ करती पसंद,आधारित विश्लेषण से यह पता चलता है कि इस हिंदी ट्रांसक्रिप्ट का क्षेत्र शिक्षा (Education) से संबंधित है।
5348024557509055_f95_chunk_5_subchunk_1.wav,त<b></b>ो वह एक अल[STAR#$%T]ग ही अनुभव होता है,तो वह एक अल[STAR#$%T]ग ही अनुभव होता है,"Based on the given normalized Hindi transcript, I would categorize the domain as 'Conversation'. 

The transcript appears to be a casual, informal conversation between two individuals, possibly friends or family members, as indicated by the use of colloquial expressions and the informal tone. The mention of a personal experience (""वह एक अल[STAR#$%T]ग ही अनुभव होता है"") suggests a relaxed and personal conversation."
5348024557509055_f95_chunk_6_subchunk_1.wav,यह bilkul गलत है।।हम वह है हुआ दिया जो में,यह bilkul गलत है।।हम वह है हुआ दिया जो में,"आfter analyzing the given Hindi transcript, I would categorize the domain as 'Conversation'. 

The transcript appears to be a casual conversation between two individuals, possibly expressing disagreement or correcting a statement. The use of colloquial expressions like ""यह bilkul गलत है"" (यह बिल्कुल गलत है) and the informal tone suggest a conversational setting."
5348024557509055_f95_chunk_7_subchunk_1.wav,कल्पना करते हैं,कल्पना करते हैं,"Based on the given normalized Hindi transcript ""कल्पना करते हैं"", I would analyze it as a general domain of 'Conversation'. 

The phrase ""कल्पना करते हैं"" is a common expression used in everyday conversations, often to express imagination or hypothetical scenarios. It does not seem to be specific to any particular domain like news, education, or call center. Therefore, the most suitable domain for this transcript is 'Conversation'."
5348024557509055_f95_chunk_8_subchunk_1.wav,और पुस्तक हाथ में होता,और पुस्तक हाथ में होता,"Based on the given Hindi transcript ""और पुस्तक हाथ में होता"", I would analyze it as a passage related to 'Education'. 

The phrase ""पुस्तक हाथ में होता"" can be translated to ""a book in hand"", which suggests a context of reading, studying, or learning. This is a common phrase used in educational settings to describe a student with a book in their hand, indicating that they are engaged in learning or studying."
5348024557509055_f95_chunk_9_subchunk_1.wav,लेकिन जब हम ई-बुक [E-Book] पढ़ते हैं तो हम एक मौबाइल [Mobile] फ़ौन [Phone] या कम्प्यूटर [Computer] स्क्रिन [Screen],लेकिन जब हम ई-बुक [E-Book] पढ़ते हैं तो हम एक मौबाइल [Mobile] फ़ौन [Phone] या कम्प्यूटर [Computer] स्क्रिन [Screen],"Based on the given Hindi transcript, the general domain of the speech dataset appears to be 'Education' or more specifically 'E-Learning'."
5348024557509056_f542_chunk_0_subchunk_1.wav,मुझे गाना सुनना बहुत पसंद है गाना सुनकर उसके बोल याद रख कर फिर उस गाने को गुनगुनाना मुझे बहुत पसंद #$%है इस मैं तो ज़्या</b>दा[START]तर हिंदी सिनेमा स<b>िनेमा के गाने और भजन गाना पसंद करती हूँ एकदम सही बात है,मुझे गाना सुनना बहुत पसंद है गाना सुनकर उसके बोल याद रख कर फिर उस गाने को गुनगुनाना मुझे बहुत पसंद #$%है इस मैं तो ज़्यादा[START]तर हिंदी सिनेमा सिनेमा के गाने और भजन गाना पसंद करती हूँ एकदम सही बात है,"आधुनिक भारतीय संस्कृति के साथ-साथ सिनेमा के गानों और भजनों की प्रशंसा करने वाली बातचीत के आधार पर, मैं इसे 'सिनेमा' या 'भारतीय संस्कृति' के साथ जोड़ सकता हूँ, लेकिन सबसे अच्छा मैच 'सिनेमा' है।"
5348024557509056_f542_chunk_1_subchunk_1.wav,ज़्यादातर</b> मैं जब रसोई करत[START]ी हूँ तो मै<b>ं भजन गाना पसंद करती हूँ उस समय मैं,ज़्यादातर मैं जब रसोई करत[START]ी हूँ तो मैं भजन गाना पसंद करती हूँ उस समय मैं,आध्यात्मिक/व्यक्तिगत
5348024557509056_f542_chunk_2_subchunk_1.wav,हैं बोल उसके है पसंद बहुत मुझे वह है भजन एक का जी जगन्नाथ हूँ करती पसंद बहुत,हैं बोल उसके है पसंद बहुत मुझे वह है भजन एक का जी जगन्नाथ हूँ करती पसंद बहुत,"Based on the given Hindi transcript, I would analyze it as a 'Conversation' or more specifically 'Personal Conversation' because it seems to be a casual and informal discussion. The speaker is expressing their personal preferences and opinions, which is typical of a personal conversation."
