File Name,Number of Speakers,Speaker Durations
5348024557509054_f295_chunk_8_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557509054_f295_chunk_9_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557509055_f95_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0021}"
5348024557509055_f95_chunk_10_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0009}"
5348024557509055_f95_chunk_11_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0009}"
5348024557509055_f95_chunk_12_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557509055_f95_chunk_13_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557509055_f95_chunk_14_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557509055_f95_chunk_15_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557509055_f95_chunk_16_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0006}"
5348024557509055_f95_chunk_17_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557509055_f95_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.002}"
5348024557509055_f95_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0021}"
5348024557509055_f95_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0021}"
5348024557509055_f95_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0022}"
5348024557509055_f95_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0009}"
5348024557509055_f95_chunk_6_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557509055_f95_chunk_7_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509055_f95_chunk_8_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557509055_f95_chunk_9_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0045}"
5348024557509056_f542_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0041}"
5348024557509056_f542_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0031}"
5348024557509056_f542_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557509056_f542_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0039}"
5348024557509056_f542_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0026}"
5348024557509061_f543_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557509061_f543_chunk_10_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0027}"
5348024557509061_f543_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.002}"
5348024557509061_f543_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557509061_f543_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557509061_f543_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0047}"
5348024557509061_f543_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.004}"
5348024557509061_f543_chunk_6_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0039}"
5348024557509061_f543_chunk_7_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557509061_f543_chunk_8_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557509061_f543_chunk_9_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509070_f1276_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0029}"
5348024557509071_f1142_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0019}"
5348024557509072_f773_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0006}"
5348024557509073_f1091_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557509078_f1616_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509079_f1271_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557509080_f1272_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557509081_f1273_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557509085_f1275_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0038}"
5348024557509087_f1274_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0039}"
5348024557509088_f1143_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0001}"
5348024557509091_f1280_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509104_f18_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557509104_f18_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509104_f18_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509104_f18_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509104_f18_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509106_f17_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557509112_f604_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0024}"
5348024557509112_f604_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557509112_f604_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0028}"
5348024557509112_f604_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0039}"
5348024557509112_f604_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0029}"
5348024557509112_f604_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0044}"
5348024557509112_f604_chunk_6_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557509114_f202_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0036}"
5348024557509115_f194_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0042}"
5348024557509120_f601_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557509120_f601_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557509120_f601_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557509120_f601_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0031}"
5348024557509120_f601_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0026}"
5348024557509120_f601_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0038}"
5348024557509120_f601_chunk_6_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509120_f601_chunk_7_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557509120_f601_chunk_8_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0047}"
5348024557509121_f19_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0048}"
5348024557509121_f19_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0035}"
5348024557509121_f19_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0022}"
5348024557509126_f1029_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0021}"
5348024557509129_f1168_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0033}"
5348024557509131_f1355_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557509132_f1354_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557509134_f803_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557509137_f1353_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0031}"
5348024557509138_f1051_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0026}"
5348024557509141_f1356_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0022}"
5348024557509142_f1031_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0021}"
5348024557509149_f1169_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557509154_f804_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509156_f46_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0048}"
5348024557509156_f46_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557509156_f46_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0037}"
5348024557509156_f46_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557509156_f46_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557509162_f218_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509162_f218_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509162_f218_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509162_f218_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509162_f218_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509164_f217_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509164_f217_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509164_f217_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509164_f217_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509164_f217_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509166_f47_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509166_f47_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0007}"
5348024557509166_f47_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557509166_f47_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0036}"
5348024557509166_f47_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0042}"
5348024557509166_f47_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0036}"
5348024557509166_f47_chunk_6_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0028}"
5348024557509169_f752_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509169_f752_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0039}"
5348024557509169_f752_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0024}"
5348024557509169_f752_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557509180_f751_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0022}"
5348024557509180_f751_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557509180_f751_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.005}"
5348024557509181_f668_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557509181_f668_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0044}"
5348024557509186_f1365_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509187_f1366_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0028}"
5348024557509189_f1367_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0008}"
5348024557509191_f1368_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557509193_f1171_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0022}"
5348024557509194_f1372_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557509197_f1370_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0029}"
5348024557509198_f1533_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557509201_f1542_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0019}"
