Filename,Indiconformer_Hypothesis,normalized_transcripts,domain
5348024557506342_f1955_chunk_0_subchunk_1.wav,मुझे बताओ मेरे पास कौनसी सूचियां है,मुझे बताओ मेरे पास कौनसी सूचियां है,वार्तालाप
5348024557506445_f341_chunk_1_subchunk_1.wav,इसका एकोनॉमी बढ़ गया है,इसका एकोनॉमी बढ़ गया है,आर्थिक
5348024557507247_f387_chunk_2_subchunk_1.wav,इस तरह मेरी डर दूर हो गया,इस तरह मेरी डर दूर हो गया,Conversation
5348024557506563_f292_chunk_4_subchunk_1.wav,स्पेंड करने से उनकी शारीरिक क्षमताओं और,स्पेंड करने से उनकी शारीरिक क्षमताओं और,"Based on the given transcript, ""स्पेंड करने से उनकी शारीरिक क्षमताओं और"", the general domain of the speech dataset appears to be 'Health' or 'Fitness'. However, since the transcript is incomplete, I will provide a more general domain. 

The domain is: Health"
5348024557507086_f569_chunk_0_subchunk_1.wav,दूसरे के साथ,दूसरे के साथ,Conversation
5348024557506490_f106_chunk_34_subchunk_1.wav,ब सॉल् हो सकती है,ब सॉल् हो सकती है,Conversation
5348024557506343_f1670_chunk_0_subchunk_1.wav,नेस्केफे गोल्ड ओरिजनल रोस्टेट कॉफी को पिछले ऑर्डर में बताई गई समानमात्रा के साथ फिर से ऑर्डर करें,नेस्केफे गोल्ड ओरिजनल रोस्टेट कॉफी को पिछले ऑर्डर में बताई गई समानमात्रा के साथ फिर से ऑर्डर करें,कॉफी ऑर्डर
5348024557507085_f105_chunk_1_subchunk_1.wav,मैं ये कह सकता हूं कि,मैं ये कह सकता हूं कि,Conversation
5348024557507047_f1811_chunk_0_subchunk_1.wav,उन सभी निशुल्क टीकाकरण केंद्रों की सूची बनाए जो कोवैक्सीन की बूसर डोज देते हैं,उन सभी निशुल्क टीकाकरण केंद्रों की सूची बनाए जो कोवैक्सीन की बूसर डोज देते हैं,स्वास्थ्य
5348024557506333_f148_chunk_6_subchunk_1.wav,हमारे गांव में गांव में और मेरे घर के ही पास जुड्डेन हैं,हमारे गांव में गांव में और मेरे घर के ही पास जुड्डेन हैं,Conversation
5348024557506329_f655_chunk_10_subchunk_1.wav,क लगाते थे वो भात,क लगाते थे वो भात,Conversation
5348024557506349_f1959_chunk_0_subchunk_1.wav,कृपया दस हजार रुपे मेरे पेयूमनी वॉलेट में ट्रांसफर करें,कृपया दस हजार रुपे मेरे पेयूमनी वॉलेट में ट्रांसफर करें,Finance
5348024557506369_f473_chunk_0_subchunk_1.wav,निजामाबाद,निजामाबाद,"निजामाबाद एक शहर का नाम है, इसलिए यह संभवतः एक स्थान से संबंधित वार्ता है। इस आधार पर, डोमेन 'स्थान' या 'भूगोल' हो सकता है, लेकिन यह जानकारी बहुत कम है। अधिक संदर्भ की आवश्यकता होगी एक सटीक निष्कर्ष निकालने के लिए। 

हालांकि, यदि मुझे केवल दी गई जानकारी के आधार पर निर्णय लेना होगा, तो मैं कहूंगा कि डोमेन 'स्थान' या 'भूगोल' से संबंधित हो सकता है, लेकिन यह जानकारी बहुत सीमित है। एक संभावित उत्तर हो सकता है 'स्थान'।"
5348024557506372_f470_chunk_4_subchunk_1.wav,ब्राजील,ब्राजील,News
5348024557506432_f127_chunk_19_subchunk_1.wav,वो जो कोविड के बारे में जो मेरा एक्सप्रेंस था मतलब सभी जगह एक तरफ का डरसा हो गया था,वो जो कोविड के बारे में जो मेरा एक्सप्रेंस था मतलब सभी जगह एक तरफ का डरसा हो गया था,"Based on the given transcript, the general domain of the speech dataset appears to be 'Conversation' or more specifically, 'Interview' or 'Personal Experience'. However, considering the context of COVID, a more suitable domain would be 'Conversation' or 'Interview' related to 'Health' or 'Pandemic'. But since the options are limited to one or two words, a suitable answer would be 'Conversation' or 'Interview'. 

Given the context, a more precise answer would be 'Conversation'."
5348024557506617_f666_chunk_12_subchunk_1.wav,ये रंग और रोशनी का त्योहार है,ये रंग और रोशनी का त्योहार है,फेस्टिवल
5348024557506228_f1189_chunk_0_subchunk_1.wav,मैं लाना ग्रीनबोड ग्रीनटी कुबेड इंडस्ट्रीज दिजनी प्रिंटेड कैंफ स लॉनड्रीबेग और बेलाविटा ऑर्गेनिक आइलिफ्ट अंडराइ क्रीमजेल वाले अपने ऑर्डर की ्स्थिति जना चाहता हूं,मैं लाना ग्रीनबोड ग्रीनटी कुबेड इंडस्ट्रीज दिजनी प्रिंटेड कैंफ स लॉनड्रीबेग और बेलाविटा ऑर्गेनिक आइलिफ्ट अंडराइ क्रीमजेल वाले अपने ऑर्डर की ्स्थिति जना चाहता हूं,"Based on the given Hindi transcript, the general domain of the speech dataset appears to be 'Customer Service'."
5348024557507266_f1984_chunk_0_subchunk_1.wav,मुझे बताओ कि गोबी पराठा कैसे बनाते हैं,मुझे बताओ कि गोबी पराठा कैसे बनाते हैं,रेसिपी
5348024557506963_f94_chunk_1_subchunk_1.wav,सर्वोत्वमुख अभिवृद्धि उसको हो इस प्रकार में सहायता करने के लिए एक अच्छा विकल्प है,सर्वोत्वमुख अभिवृद्धि उसको हो इस प्रकार में सहायता करने के लिए एक अच्छा विकल्प है,"Based on the given Hindi transcript, the general domain of the speech dataset appears to be 'Education' or more specifically, 'Self-Improvement' or 'Personal Growth'. However, since the options are limited to one- or two-word phrases, I would categorize it as 'Education'. 

The words ""सर्वोत्वमुख अभिवृद्धि"" (overall development) and ""सहायता करने के लिए"" (to help) suggest a context of personal growth or self-improvement, which is often associated with educational or motivational content."
5348024557507086_f569_chunk_8_subchunk_1.wav,अगर मुझे अपने घर में लोगों को लंच या डेलनर में बुलाना पड़े तो कोई न कोई इवेंट होता है,अगर मुझे अपने घर में लोगों को लंच या डेलनर में बुलाना पड़े तो कोई न कोई इवेंट होता है,Conversation
5348024557507275_f1986_chunk_0_subchunk_1.wav,मुझे घनलक्ष्मी बैंक में ारहजार रुपये से के अटके लेनदेन में राशि वापस कब मिलेगी,मुझे घनलक्ष्मी बैंक में ारहजार रुपये से के अटके लेनदेन में राशि वापस कब मिलेगी,बैंकिंग
5348024557506383_f141_chunk_2_subchunk_1.wav,सच्चाई को सुनिश्चित करने के लिए,सच्चाई को सुनिश्चित करने के लिए,News
5348024557506968_f294_chunk_0_subchunk_1.wav,मुझे ट्रेडिशनल कपड़े बहुत अच्छे लगते हैं तो बाहोबली के जो कास्टिंग थी या उसमें जो ड्रेसिंग फेंसथा या ड्रेसेस थै वो मुझे बहुत अच्छा लगा,मुझे ट्रेडिशनल कपड़े बहुत अच्छे लगते हैं तो बाहोबली के जो कास्टिंग थी या उसमें जो ड्रेसिंग फेंसथा या ड्रेसेस थै वो मुझे बहुत अच्छा लगा,मूवी।
5348024557506329_f655_chunk_6_subchunk_1.wav,मारवड जो हिंदू धर्म के लिए,मारवड जो हिंदू धर्म के लिए,"Based on the given transcript, the general domain of the speech dataset appears to be 'Religion' or more specifically 'Hinduism'. However, since the prompt asks for a one- or two-word phrase, a suitable answer would be 'Religion'."
5348024557506274_f71_chunk_0_subchunk_1.wav,नहीं है,नहीं है,Conversation
5348024557506333_f148_chunk_20_subchunk_1.wav,वहां पे हमने,वहां पे हमने,Conversation
5348024557506801_f1128_chunk_0_subchunk_1.wav,शल्य चिकित्सक उन्हें नियमित रूप से निकाल देते थे और ऐसा लगता था कि रोगियों के स्वास्थ्य पर इसका कोई बुरा प्रभाव नहीं पड़ता था,शल्य चिकित्सक उन्हें नियमित रूप से निकाल देते थे और ऐसा लगता था कि रोगियों के स्वास्थ्य पर इसका कोई बुरा प्रभाव नहीं पड़ता था,स्वास्थ्य
5348024557507152_f1934_chunk_0_subchunk_1.wav,न्यूयॉर्क शहर में इस समय क्या समय है,न्यूयॉर्क शहर में इस समय क्या समय है,"समय पूछने की बात है, इसलिए यह डोमेन 'Conversation' या 'Enquiry' हो सकता है, लेकिन अधिक संभावना है कि यह 'Conversation' है। 

उत्तर: Conversation"
5348024557506962_f296_chunk_3_subchunk_1.wav,प्रकार का जो एक वाद पद्धति है वो देखने को मिलता है वो मुझे महन अच्छा लगता था,प्रकार का जो एक वाद पद्धति है वो देखने को मिलता है वो मुझे महन अच्छा लगता था,Conversation
5348024557506345_f2219_chunk_0_subchunk_1.wav,बोमबुचा आम टर्मरिक कंबुचा की उपलब्धता स्थिति क्या है,बोमबुचा आम टर्मरिक कंबुचा की उपलब्धता स्थिति क्या है,"Based on the given Hindi transcript, the general domain of the speech dataset appears to be 'Health' or 'Wellness' related, but a more specific domain could be 'Conversation' about a specific health product. However, considering the context of the conversation, a more suitable domain would be 'Health' or 'Product Inquiry'. 

Since 'Product Inquiry' is not among the given options and 'Health' is a broad term, I will choose 'Conversation' as it seems like the speaker is inquiring about the availability of a specific product, which is 'कंबुचा' (Kombucha), a health-related product. 

However, a more suitable answer would be 'Health' or 'Product', but given the context and the options, the most suitable answer from the options provided would be 'Conversation'."
5348024557506962_f296_chunk_11_subchunk_1.wav,काम होता है वो मेरे से बहुत ही कठिन होता था मचस बाकी बहुत ही अच्छा रहा दर्शनशास्त्र इसलिए अच्छा है क्योंकि उसमें वाद,काम होता है वो मेरे से बहुत ही कठिन होता था मचस बाकी बहुत ही अच्छा रहा दर्शनशास्त्र इसलिए अच्छा है क्योंकि उसमें वाद,"Based on the given Hindi transcript, the general domain of the speech dataset appears to be 'Education' or more specifically, 'Philosophy' (दर्शनशास्त्र), but since 'Philosophy' is not a common domain category, a more general category would be 'Education'."
5348024557506565_f538_chunk_10_subchunk_1.wav,पहले गरपे घर के सदस्य हऔरब,पहले गरपे घर के सदस्य हऔरब,"Based on the given transcript, ""पहले गरपे घर के सदस्य हऔरब"", it seems like a casual conversation. The transcript appears to be a fragment of a sentence and lacks context, but the language used is informal. 

The domain of this speech dataset is: Conversation"
5348024557506201_f547_chunk_1_subchunk_1.wav,हिंदी मोशली,हिंदी मोशली,"हिंदी मोशली का अर्थ है 'हिंदी पाठ' या 'हिंदी पढ़ाई'। इस प्रकार, यह डेटासेट शिक्षा से संबंधित है। 

Domain: Education"
5348024557506210_f549_chunk_7_subchunk_1.wav,वन व्यवस्था है,वन व्यवस्था है,"वन व्यवस्था है 
This translates to ""Forest management"" or ""Forest system"" in English. 

Based on the given transcript, the general domain of the speech dataset appears to be 'Environment' or 'Conservation' but given the limited context, a more general domain could be 'Education'."
