column_name,utterance,count
Indiconformer_Hypothesis,और,5
Indiconformer_Hypothesis,बिल्ली,3
Indiconformer_Hypothesis,जो,2
Indiconformer_Hypothesis,खू दो,2
Indiconformer_Hypothesis,पेड,2
Indiconformer_Hypothesis,दृश्य,2
Indiconformer_Hypothesis,हरियाणा,2
Indiconformer_Hypothesis,कुत्ता,2
Indiconformer_Hypothesis,पीछे,2
Indiconformer_Hypothesis,एक,2
Indiconformer_Hypothesis,घर,2
Indiconformer_Hypothesis,सबसे ज्यादा,2
Indiconformer_Hypothesis,आज की डेट में,2
normalized_transcripts,और,5
normalized_transcripts,बिल्ली,3
normalized_transcripts,जो,2
normalized_transcripts,खू दो,2
normalized_transcripts,पेड,2
normalized_transcripts,दृश्य,2
normalized_transcripts,हरियाणा,2
normalized_transcripts,कुत्ता,2
normalized_transcripts,पीछे,2
normalized_transcripts,एक,2
normalized_transcripts,घर,2
normalized_transcripts,सबसे ज्यादा,2
normalized_transcripts,आज की डेट में,2
