Reference,Hypothesis,WER
बोले एक छोटे बच्चे को तुम नहीं समझा सकते हो,बोले एक छोटे बच्चे को तुम नहीं समझा सकते हो,0.0
bole नहीं,bole नहीं,0.0
आजकल लेकिन थे समझते पहले हम किताब हुआ किया ,आजकल लेकिन थे समझते पहले हम किताब हुआ किया</b> [Print],0.2222
तो वह ज़्यादा देर,तो<b> वह ज़[START]्यादा देर,0.5
for example भौतिक पुस्तक,for example भौतिक पुस्तक,0.0
यह बिल्कुल गलत है।।है लगता अच्छा ज़्यादा,यह बिल्कुल गलत है।।है लगता अच्छा ज़्यादा,0.0
पुस्तक ऑडियो ऑडियो है सुना बुक ऑडियो मैंने हाँ।यह बिल्कुल for example गलत है।,पुस्तक ऑडियो ऑडि</b>यो है सुन#$%ा बुक ऑडियो <b>म[START]ैंने हाँ।यह बिल्कुल for example गलत है।,0.2143
यह बिल्कुल गलत है।।उसमें क्योंकि है लगता,यह बिल्कुल गलत है।।उसमें क्योंकि है लगता,0.0
during से,during से,0.0
चीज़ों को दर्शाया जा सकता है,चीज़ों क[START]<b>ो दर्शाया जा स</b>कता#$% है,0.3333
लेकिन मुझे किताबें पढ़ना ऑडीयौ  बुक  और ई-बूक  से ज्यादा पसंद है,लेकिन मुझे किताबें पढ़ना ऑडीयौ [Audio] बुक [Book] और ई-बूक [E-Book] से ज्यादा पसंद है,0.25
इलेक्ट्रॉनिक किताब भी आने लगे हैं या जिसे हम please note बोलते हैं पुस्तक ई किताब ऐसे बोलते,इलेक्ट्रॉनिक किताब भी आने लगे हैं या जिसे हम please note बोलते हैं पुस्तक ई किताब ऐसे बोलते,0.0
डिजिटल पुस्तक system है इन्हें हम मोबाइल फ़ोन ya कम्प्यूटर माध्यम माध्यम से पढ़ सकते एकदम सही बात है,डिजिटल पुस्तक system है इन्हें हम मोबाइल फ़ोन ya कम्[S<b></b>TART]प्यूटर माध्यम माध्यम से पढ़ सकते एकदम सही बात ह#$%ै,0.1053
यह बिल्कुल गलत है।।है पढ़ा पुस्तक का तरह donon बुक्स ई aur पुस्तक भौतिक है पढ़ा पुस्तक पुस्तक का तरह दोनों मैंने,यह बिल्कुल गलत है।।है पढ़ा पुस्तक का तरह donon बुक्स ई aur पुस्तक भौतिक है पढ़ा पुस्तक पुस्तक का तरह दोनों मैंने,0.0
पढ़ते हम जब लेकर में हाथ पुस्तक भौतिक क्योंकि हूँ करती पसंद,पढ़ते हम जब लेकर में हाथ पुस्तक भौतिक क्योंकि हूँ करती पसंद,0.0
तो वह एक अलग ही अनुभव होता है,त<b></b>ो वह एक अल[STAR#$%T]ग ही अनुभव होता है,0.25
यह bilkul गलत है।।हम वह है हुआ दिया जो में,यह bilkul गलत है।।हम वह है हुआ दिया जो में,0.0
कल्पना करते हैं,कल्पना करते हैं,0.0
और पुस्तक हाथ में होता,और पुस्तक हाथ में होता,0.0
लेकिन जब हम ई-बुक  पढ़ते हैं तो हम एक मौबाइल  फ़ौन  या कम्प्यूटर  स्क्रिन ,लेकिन जब हम ई-बुक [E-Book] पढ़ते हैं तो हम एक मौबाइल [Mobile] फ़ौन [Phone] या कम्प्यूटर [Computer] स्क्रिन [Screen],0.3571
मुझे गाना सुनना बहुत पसंद है गाना सुनकर उसके बोल याद रख कर फिर उस गाने को गुनगुनाना मुझे बहुत पसंद है इस मैं तो ज़्यादातर हिंदी सिनेमा सिनेमा के गाने और भजन गाना पसंद करती हूँ एकदम सही बात है,मुझे गाना सुनना बहुत पसंद है गाना सुनकर उसके बोल याद रख कर फिर उस गाने को गुनगुनाना मुझे बहुत पसंद #$%है इस मैं तो ज़्या</b>दा[START]तर हिंदी सिनेमा स<b>िनेमा के गाने और भजन गाना पसंद करती हूँ एकदम सही बात है,0.0732
ज़्यादातर मैं जब रसोई करती हूँ तो मैं भजन गाना पसंद करती हूँ उस समय मैं,ज़्यादातर</b> मैं जब रसोई करत[START]ी हूँ तो मै<b>ं भजन गाना पसंद करती हूँ उस समय मैं,0.1875
हैं बोल उसके है पसंद बहुत मुझे वह है भजन एक का जी जगन्नाथ हूँ करती पसंद बहुत,हैं बोल उसके है पसंद बहुत मुझे वह है भजन एक का जी जगन्नाथ हूँ करती पसंद बहुत,0.0
हे परम पिता हे परम गुरु यह बोल वाला गाना मुझे बहुत पसंद है मैं यह गाना jb गाती हूँ तो mujhe ऐसा लगता है जैसे कि प्रभु jgnnath मेरे पास hain और मेरे सारी परेशानी वह दूर करेंगे एकदम सही बात है,हे परम पिता हे परम गुरु यह बोल वा#$%ला गाना मुझे बहुत पसंद है मैं यह गाना jb गाती हूँ तो mujhe ऐसा लगता है जैसे कि प्रभु jgn</b>nath मेरे पास hain और [<b>START]मेरे सारी परेशानी वह दूर करेंगे एकदम सही बात है,0.0698
फिर जब मैं बहुत khush होती हूँ तब मैं पुराने हिंदी गाने गाना बहुत पसंद करती हूँ वह gungunane से मुझे बहुत अच्छा लगता है,फिर जब मैं बहुत khush होती हूँ तब मैं पुराने हिंदी गाने गाना बहुत पसंद करती हूँ वह gungunane से मुझे बहुत अच्छा लगता है,0.0
ओडिसा भारत के पूर्व में एक राज्य है,ओडिसा भा#$%रत के पूर्व में <b>एक रा</b>ज्य[START] है,0.375
लेकिन उड़ीसा में इतना बहुत बड़ा system हादसा नहीं हुआ की इस,लेकिन उड़ीसा में इतना बहुत बड़ा system हादसा नहीं हुआ की इस,0.0
के पूर्व बंगाल kee खाड़ी है यहाँ चार सौ पचास किलोमीटर की समुद्र तट,के पूर्व बंगा[STA<b>RT]ल kee खाड़ी है यहाँ चार</b> सौ पचास किलोमीटर की समुद्र #$%तट,0.2143
की खाड़ी,क#$%</b>ी[START] खा<b>ड़ी,1.0
यह बिल्कुल गलत है।।हैं,यह बिल्कुल गलत है।।हैं,0.0
यह बिल्कुल गलत है।।था गया बदल भूगोल का तटरेखा इसकी था हुआ प्रभावित में मात्रा अधिक बहुत उड़ीसा जिससे था आया हैं बोलते बोलते साइक्लोन सुपर हम जिसे तूफान चक्रवाती भयंकर एक पर यहाँ में निन्यानवे सौ उन्नीस,यह बिल्कुल गलत है।।था गया बदल भूग</b>ोल का तटरेखा इसकी था हुआ प्रभावित में मा[START]त्रा अधिक बहुत उड़ीसा जिसस#$%े था आया हैं बोलते बोलते <b>साइक्लोन सुपर हम जिसे तूफान चक्रवाती भयंकर एक पर यहाँ में निन्यानवे सौ उन्नीस,0.1053
सारे गाँव बाढ़ में डूब गए थे बहुत ds hज़ar for example से अधिक लोगों की,सारे गाँव बाढ़ में डूब गए थे बहुत ds hज़ar for example से अधिक लोगों की,0.0
इसके अलावा उड़ीसा में बहुत  और भी बहुत चक्रवाती तूफान आते हैं जिससे इसका तटवर्ती इलाका तट में रहने वाले ज़िले बहुत प्रभावित होते हैं,इसके अलावा उड़ीसा में बहुत [uhh] और भी बहुत चक्रवाती तूफान आते हैं जिससे इसका तटवर्ती इलाका तट में रहने वाले ज़िले बहुत प्रभावित होते हैं,0.04
उड़ीसा में बहुत सारी नदियाँ हैं प्रमुख नदियों में,उड़ीसा में बहुत सारी नदियाँ हैं प्रमुख नदियों में,0.0
और भी ब्राह्मणी बहुत सारी नदियाँ हैं इस नदियों में,और भी ब्राह्मणी बहुत सारी नदियाँ हैं इस नदियों में,0.0
यह बिल्कुल गलत है।।हैं जाते जाते आ men चपेट,यह बिल्कुल गलत है।।हैं जाते ज[START]ाते आ men चपेट,0.1111
बिल्कुल गलत है।।चाहिए होनी शामिल भी जानकारी की krne सम्पर्क आपसे साथ-साथ,ब</b>िल्कुल गलत है।।चाहिए होनी शामिल भी जानकारी क[START]ी krne सम्पर्क आपसे साथ-साथ,0.1667
बात सही एकदम थे भी during मज़ेदार बहुत साथ ही साथ और थे व्यक्ति सम्मानित वे और थी इतनी में।यह बिल्कुल गलत है।,बात सही एकदम थे भी during मज़ेदार बहुत साथ ही साथ और थे व्यक्ति सम्मानित वे और थी इतनी में।यह बिल्कुल गलत है।,0.0
suprbhat क्या चल रहा रहा,suprbhat क्या चल रहा रहा,0.0
आज कौन सा सप्ताह,आज कौन सा सप्ताह,0.0
क्षमा करें आपके kart  आइटम्स  में बिग  सैम्स  फ़्रोजन  प्रॉन्स  भंडार men नहीं है एकदम सही बात है,क्षमा<b> करें आपके kart [C</b>art] आइटम्स [Items] में बिग [Big] सैम्स [Sam's] फ़्रोजन [F#$%rozen] प्रॉन्स [Prawns] भंडार men नहीं [START]है एकदम सही बात है,0.4444
क्या मैं अपनी डिलीवरी तारीख को उन्नीस बारह दो हज़ार बीस से सोलह एक दो हज़ार इक्कीस में बदल सकता हूँ एकदम सही बात है,क्या मैं अपनी #$%डिलीवरी तारीख को उ<b>न्नीस बारह</b> दो हज़ार बीस से सोलह एक दो हज़ार इक्कीस [START]में बदल सकता हूँ एकदम सही बात है,0.16
मैं अपने सैंट्रल  बेंक  ऑफ़  इंडीया  खाते में अधिकतम कितनी राशि राशि निकाल सकता हूँ एकदम सही बात है,मैं अपने सैंट्रल [Central] बेंक [Bank] ऑफ़ [Of] इंडीया [India] खाते में अधिकतम कितनी राशि राशि निकाल सकता हूँ एकदम सही बात है,0.2105
जोड़ से खाते baink बैंक कैनरा मेरे रुपये सौ छः में वॉलेट system मनी जियो मेरे आप।यह bilkul गलत है। एकदम सही बात है,जोड़ से[START] खा#$%ते baink बै</b>ंक कैनरा मेरे रुपये सौ छः में वॉ<b>लेट system मनी जियो मेरे आप।यह bilkul गलत है। एकदम सही बात है,0.1667
यह बिल्कुल गलत है।।हूँ skta कर  चेक विवरण ke खाते  वाई  पि  ए अपने से मदद kee चार aath पाँच दो पाँच तीन आठ तीन सात नौ सात छः  नम्बर  एन  ए  आर  पि मैं क्या,यह बिल्कुल गलत है।।हूँ skta कर [Check] चेक विवरण ke खाते [Y] वाई [P] पि [A] ए अपने से मदद kee चार aath पाँच दो पाँच तीन आठ तीन सात नौ सात छः [Number] नम्बर [N] एन [A] ए [R] आर [P] पि मैं क्या,0.25
ई  एस  aaee  सी  केंद्र dhoondh़e जो पीन  kod  चार चार दो तीन,ई [E] एस [S] aaee [I] सी [C] केंद्र dhoondh़e जो पीन [PIN] kod [Code] चार चार दो तीन,0.4615
nan,nan,0.0
nan,nan,0.0
कर्नाटक महाराष्ट्र please please note पंजाब,कर्नाटक महाराष्ट्र please please note पंजाब,0.0
for,for,0.0
nan,nan,0.0
यह बिल्कुल गलत है।।बिहार,यह बिल्कुल गलत है।।</b>[START]बि<b>#$%हार,0.25
bilkul है। एकदम,bilkul है। एकदम,0.0
लंडन लंडन ओंटारिओ,लंडन लंडन ओंटारिओ,0.0
तो जब मैंने अपना पहला गाना गाया था तो मैं जहाँ पर पढ़ने जाता था एक अपनी,तो जब मैंने अपना पहला गाना गाया था तो मैं जहाँ पर पढ़ने जाता था एक अपनी,0.0
तो मैं काफ़ी डरा हुआ था नर्वसनेस  का माहौल बना हुआ था मेरे हाथ बहुत ही ज़्यादा दुखते थे क्योंकि क्योंकि जो गिटार  की तारें थीं वह बहुत ही ज़्यादा पैनफुल  थीं,तो मैं काफ़ी डरा हुआ था नर्वसनेस [Nervousness] का माहौल बना हुआ था मेरे हाथ बहुत ही ज़्यादा दुखते थे क्योंकि क्योंकि जो गिटार [Guitar] की तारें थीं वह बहुत ही ज़्यादा पैनफुल [Painful] थीं,0.0938
तो जब मैंने फर्स्ट टाइम ऐसे गाना गाया तो वह पेन कर रहा था और नर्वसनेस भी थी चालीस से,तो जब मैंने फर्स्ट टाइम ऐसे गाना ग[START]ाया तो वह प<b>ेन कर रहा था और नर्वसनेस भी थी चालीस से,0.1
तो इससे मुझे बहुत कुछ सीखने को mila था जिससे huaa क्या कि उस ऑडीयंस  ने मुझे सपोर्ट  किया था वह बहुत ही ज़्यादा अच्छी सपौर्टीव  ऑdeeyns  थी किसी ने भी मुझे बुरा फिल  करवाने की कोशिश नहीं की जबकि सबको पता लग चुका tha कि main गलत जा रहा हूँ,तो इससे मुझे बहुत कुछ सीखने को mila था जिससे huaa क्या कि उस ऑडीयंस [Audience] ने मुझे सपोर्ट [Support] किया था वह बहुत ही ज़्यादा अच्छी सपौर्टीव [Supportive] ऑdeeyns [Audience] थी किसी ने भी मुझे बुरा फिल [Feel] करवाने की कोशिश नहीं की जबकि सबको पता लग चुका tha कि main गलत जा रहा हूँ,0.098
